fanout,rows,tree_localisation_ms,candidate_summary_fetch_ms,summary_comparison_ms,exact_heap_fetch_ms,repair_write_ms,native_commit_visibility_ms,post_commit_relocalisation_ms,restore_repair_ms,total_ms,levels,logical_ranges_compared,range_summary_rows,bad_partitions,ranges,summary_items,index_bytes,schema_bytes,leaf_count,node_count,max_depth,max_leaf_occupancy
2,1000000,99.771,34.468,0.723,4.663,47.068,5.441,7.988,203.783,677.591,8,1356,2712,67,75,3292,84746240,296820736,47693,95186,9,32
2,3000000,115.276,40.588,0.782,5.026,36.817,6.65,7.798,218.877,1342.867,10,1572,3144,64,75,3510,240738304,897433600,130027,259854,11,32
2,5000000,126.471,45.645,0.789,5.122,47.812,6.031,6.953,246.652,2047.422,11,1654,3308,64,75,3514,399171584,1500504064,215626,431052,11,32
2,10000000,151.779,43.943,0.736,5.258,38.946,6.621,8.462,259.976,3777.194,12,1790,3580,60,75,3314,796647424,3009552384,431290,862380,12,32
4,1000000,89.015,24.382,0.732,4.3,29.633,4.714,6.359,163.997,486.631,4,1364,2728,67,83,3260,66732032,278806528,47693,64875,5,32
4,3000000,99.424,25.599,0.751,4.126,26.171,4.191,7.382,172.446,1041.775,5,1648,3296,64,114,3376,204488704,861184000,130027,198225,6,32
4,5000000,98.862,29.564,0.762,5.112,31.046,4.659,6.461,181.776,1460.491,6,1660,3320,64,84,3504,318029824,1419362304,215626,295357,6,32
4,10000000,130.862,36.375,0.709,4.883,38.02,4.666,7.766,227.59,3116.386,6,1904,3808,60,137,3184,702218240,2915123200,431290,702924,6,32
8,1000000,107.744,22.666,0.67,4.172,25.034,3.556,6.18,174.468,485.012,3,1936,3872,67,154,3084,65200128,277274624,47693,62293,3,32
8,3000000,116.538,20.459,0.699,3.249,19.608,3.595,3.324,182.037,926.768,4,2136,4272,64,118,3184,188669952,845365248,130027,172256,4,32
8,5000000,134.74,26.709,0.598,4.645,25.887,3.687,5.553,206.335,1622.398,4,2472,4944,64,198,2702,340303872,1441636352,215626,331921,4,32
8,10000000,132.758,25.179,0.695,4.612,26.567,3.659,6.263,204.52,2498.427,4,2448,4896,60,137,3184,609779712,2822684672,431290,548290,4,32
16,1000000,106.894,19.296,0.714,3.922,27.745,5.065,4.507,175.67,442.553,2,2472,4944,67,83,3260,58638336,270712832,47693,51275,3,32
16,3000000,160.029,20.641,0.42,3.281,18.287,3.589,4.66,218.089,1026.249,3,3608,7216,64,230,2028,196419584,853114880,130027,184622,3,32
16,5000000,161.515,22.596,0.603,4.1,25.526,3.69,3.323,230.785,1410.347,3,3592,7184,64,198,2702,303407104,1404739584,215626,270226,3,32
16,10000000,112.685,22.41,0.696,3.386,18.538,3.883,3.197,174.627,2212.136,3,3528,7056,60,137,3184,572071936,2784976896,431290,485890,3,32
32,1000000,192.013,20.968,0.495,3.961,25.347,4.019,3.345,263.612,552.621,2,4744,9488,67,217,2330,60399616,272474112,47693,54293,2,32
32,3000000,185.759,22.01,0.751,3.329,29.381,3.64,5.317,261.127,876.766,2,4648,9296,64,114,3376,167428096,824123392,130027,136630,3,32
32,5000000,195.818,26.862,0.73,5.202,35.821,4.22,5.553,285.197,1353.899,3,4968,9936,64,99,3288,282025984,1383358464,215626,233757,3,32
32,10000000,280.742,17.598,0.264,3.352,34.064,3.713,4.603,359.357,3318.94,3,6888,13776,60,267,1194,665886720,2878791680,431290,641324,3,32
