profile_label,tuple_count,fanout,split_threshold,merge_threshold,total_leaf_count,tree_levels,tree_edges,tree_depth,tree_height,max_prefix_len,total_merkle_nodes,total_logical_tree_nodes,physical_rows_per_leaf_expected,expected_candidate_rows_per_bad_leaf,base_table_bytes,primary_index_bytes,merkle_index_bytes,leaf_lookup_index_bytes,total_schema_bytes,minimum,p50,p95,p99,maximum,mean,stddev
fanout_f32_l16,1000000,32,32,8,204800,3,211399,2,3,10,211400,211400,4.88,9.77,189513728,22487040,8192,40583168,252665856,0.0,5.0,9.0,11.0,17.0,4.8828125,2.208536682363177
fanout_f32_l16,3000000,32,32,8,204955,4,211559,3,4,15,211560,211560,14.64,29.27,589119488,67403776,8192,121683968,778387456,0.0,14.0,21.0,24.0,32.0,14.637359420360568,3.8360166808287084
fanout_f32_l16,5000000,32,32,8,558324,4,576327,3,4,15,576328,576328,8.96,17.91,988733440,112336896,8192,202792960,1304141824,0.0,2.0,29.0,31.0,32.0,8.955373582364363,11.128872657906225
fanout_f32_l16,7000000,32,32,8,4036121,4,4166311,3,4,15,4166312,4166312,1.73,3.47,1388339200,157253632,8192,283893760,1829863424,0.0,1.0,4.0,29.0,32.0,1.7343384898520138,4.010209056758051
fanout_f32_l16,10000000,32,32,8,6509270,4,6719239,3,4,15,6719240,6719240,1.54,3.07,1987756032,224641024,8192,405577728,2618499072,0.0,1.0,4.0,5.0,32.0,1.536270580264761,1.3091751940373815
fanout_f32_l16,15000000,32,32,8,6553600,4,6764999,3,4,15,6765000,6765000,2.29,4.58,3011756032,336945152,8192,608337920,3957817344,0.0,2.0,5.0,6.0,13.0,2.288818359375,1.513093720703276
fanout_f32_l16,20000000,32,32,8,6553600,4,6764999,3,4,15,6765000,6765000,3.05,6.1,4035756032,449249280,8192,811122688,5297160192,0.0,3.0,6.0,8.0,15.0,3.0517578125,1.7476654939232228
fanout_f32_l16,25000000,32,32,8,6553600,4,6764999,3,4,15,6765000,6765000,3.81,7.63,5059756032,561561600,8192,1013882880,6636478464,0.0,4.0,7.0,9.0,17.0,3.814697265625,1.9534668591199655
fanout_f32_l16,30000000,32,32,8,6553600,4,6764999,3,4,15,6765000,6765000,4.58,9.16,6083756032,673882112,8192,1216659456,7975829504,0.0,4.0,8.0,10.0,19.0,4.57763671875,2.14056043318669
fanout_f32_l16,40000000,32,32,8,6553600,4,6764999,3,4,15,6765000,6765000,6.1,12.21,8131756032,898490368,8192,1622204416,10654482432,0.0,6.0,10.0,13.0,25.0,6.103515625,2.4711076126409295
fanout_f32_l16,50000000,32,32,8,6553600,4,6764999,3,4,15,6765000,6765000,7.63,15.26,10179756032,1123115008,8192,2027749376,13333159936,0.0,7.0,12.0,15.0,27.0,7.62939453125,2.762940783310324
