run_id,manifest_sha256,method,phase,ms
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,tree_localisation_ms,109.285
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,candidate_row_fetch_ms,16.559
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,row_comparison_ms,0.636
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,repair_sql_building_ms,0.538
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,repair_dml_wire_ms,26.215
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,repair_commit_wire_ms,7.259
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,repair_begin_wire_ms,0.115
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,repair_transaction_block_ms,34.180
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,repair_write_ms,34.184
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,targeted_post_repair_confirmation_ms,3.346
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,recovery_observability_ms,0.001
