audit_merkle_root_hash_calls,audit_merkle_verify_calls,audit_mode,audit_user_table_seq_scan_delta,audit_validation_ms,audit_validation_positive,audit_validation_skipped,bad_leaf_count,bad_partition_count,batch_plan_actual_k_index_used,candidate_fetch_batches,candidate_fetch_sql_calls,candidate_leaf_buckets_requested,candidate_rows_fetched,candidate_rows_fetched_alias,child_hash_nodes_read,child_hash_sql_calls,cleanup_ms,confirmation_fetch_batches,confirmation_fetch_sql_calls,confirmation_leaf_buckets_requested,confirmation_rows_fetched,corrupted_tuple_count,corruption_mode,damaged_candidate_rows,end_to_end_covers_paper_and_audit,end_to_end_observed_ms,experiment,fanout,full_audit_skipped,healthy_candidate_rows,leaf_fetch_chunk_size,leaf_lookup_sql_calls,leaf_nodes_found,localisation_index_stats_available,localisation_index_stats_error,localisation_stats_flush_wait_ms,localisation_stats_probe_ms,manifest_sha256,mean_rows_per_bad_leaf,merge_threshold,method,p95_rows_per_bad_leaf,paper_end_before_audit_start,paper_style_total_ms,paper_total_ms,partition_root_batches,partition_root_batches_ok,partition_root_hash_sql_calls,partition_root_nodes_read,partition_subtree_nodes_read,partition_subtree_sql_calls,planner_checked_leaf_count,planner_checks_passed,profile_label,profiling_mode,recovery_only_ms,recovery_user_table_seq_scan_delta,repetition,restore_repair_ms,rows_deleted,rows_inserted,rows_updated,run_id,schema_fidelity_ok,selected_bad_leaf_row_capacity,split_threshold,targeted_confirmation_root_batches,targeted_confirmation_root_nodes_read,total_candidate_rows,total_ms,total_rows_repaired,tree_nodes_visited,tuple_count,valid,warning
0,0,skip,0,0.0,0,1,75,55,1,4,4,150,830,830,8256,4,3.101,0,0,0,0,300,mixed,415,1,180.101,size-scaling-k75-c300,32,1,415,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,11.066666666666666,8,merkle,17.0,1,176.411,176.411,1,1,2,400,8256,4,75,1,fanout_f32_l16,off,176.411,0,0,176.411,100,100,100,size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,1,415,32,1,110,830,180.101,300,4128,1000000,1,
0,0,skip,0,0.0,0,1,75,55,1,4,4,150,830,830,8256,4,3.082,0,0,0,0,300,mixed,415,1,159.909,size-scaling-k75-c300,32,1,415,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,11.066666666666666,8,merkle,17.0,1,156.233,156.233,1,1,2,400,8256,4,75,1,fanout_f32_l16,off,156.233,0,1,156.233,100,100,100,size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r1,1,415,32,1,110,830,159.909,300,4128,1000000,1,
0,0,skip,0,0.0,0,1,75,55,1,4,4,150,830,830,8256,4,3.091,0,0,0,0,300,mixed,415,1,172.708,size-scaling-k75-c300,32,1,415,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,11.066666666666666,8,merkle,17.0,1,169.032,169.032,1,1,2,400,8256,4,75,1,fanout_f32_l16,off,169.032,0,2,169.032,100,100,100,size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r2,1,415,32,1,110,830,172.708,300,4128,1000000,1,
0,0,skip,0,0.0,0,1,75,55,1,4,4,150,830,830,8256,4,3.071,0,0,0,0,300,mixed,415,1,161.898,size-scaling-k75-c300,32,1,415,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,11.066666666666666,8,merkle,17.0,1,158.230,158.230,1,1,2,400,8256,4,75,1,fanout_f32_l16,off,158.230,0,3,158.230,100,100,100,size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r3,1,415,32,1,110,830,161.898,300,4128,1000000,1,
0,0,skip,0,0.0,0,1,75,55,1,4,4,150,830,830,8256,4,3.097,0,0,0,0,300,mixed,415,1,176.433,size-scaling-k75-c300,32,1,415,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,11.066666666666666,8,merkle,17.0,1,172.746,172.746,1,1,2,400,8256,4,75,1,fanout_f32_l16,off,172.746,0,4,172.746,100,100,100,size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r4,1,415,32,1,110,830,176.433,300,4128,1000000,1,
0,0,skip,0,0.0,0,1,75,55,1,4,4,150,830,830,8256,4,3.073,0,0,0,0,300,mixed,415,1,159.856,size-scaling-k75-c300,32,1,415,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,11.066666666666666,8,merkle,17.0,1,156.197,156.197,1,1,2,400,8256,4,75,1,fanout_f32_l16,off,156.197,0,5,156.197,100,100,100,size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r5,1,415,32,1,110,830,159.856,300,4128,1000000,1,
0,0,skip,0,0.0,0,1,75,55,1,4,4,150,830,830,8256,4,3.119,0,0,0,0,300,mixed,415,1,171.324,size-scaling-k75-c300,32,1,415,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,11.066666666666666,8,merkle,17.0,1,167.613,167.613,1,1,2,400,8256,4,75,1,fanout_f32_l16,off,167.613,0,6,167.613,100,100,100,size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r6,1,415,32,1,110,830,171.324,300,4128,1000000,1,
0,0,skip,0,0.0,0,1,75,55,1,4,4,150,830,830,8256,4,3.053,0,0,0,0,300,mixed,415,1,160.885,size-scaling-k75-c300,32,1,415,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,11.066666666666666,8,merkle,17.0,1,157.249,157.249,1,1,2,400,8256,4,75,1,fanout_f32_l16,off,157.249,0,7,157.249,100,100,100,size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r7,1,415,32,1,110,830,160.885,300,4128,1000000,1,
0,0,skip,0,0.0,0,1,75,55,1,4,4,150,830,830,8256,4,3.053,0,0,0,0,300,mixed,415,1,184.983,size-scaling-k75-c300,32,1,415,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,11.066666666666666,8,merkle,17.0,1,181.353,181.353,1,1,2,400,8256,4,75,1,fanout_f32_l16,off,181.353,0,8,181.353,100,100,100,size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r8,1,415,32,1,110,830,184.983,300,4128,1000000,1,
0,0,skip,0,0.0,0,1,75,55,1,4,4,150,830,830,8256,4,3.045,0,0,0,0,300,mixed,415,1,164.543,size-scaling-k75-c300,32,1,415,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,11.066666666666666,8,merkle,17.0,1,160.915,160.915,1,1,2,400,8256,4,75,1,fanout_f32_l16,off,160.915,0,9,160.915,100,100,100,size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r9,1,415,32,1,110,830,164.543,300,4128,1000000,1,
