run_id,method,paper_style_total_ms,restore_repair_ms,audit_validation_ms,end_to_end_observed_ms,cleanup_ms,paper_end_before_audit_start,audit_validation_positive,end_to_end_covers_paper_and_audit,full_audit_skipped,audit_validation_skipped
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,176.411,176.411,0.000,180.101,3.101,1,0,1,1,1
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,156.233,156.233,0.000,159.909,3.082,1,0,1,1,1
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,169.032,169.032,0.000,172.708,3.091,1,0,1,1,1
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,158.230,158.230,0.000,161.898,3.071,1,0,1,1,1
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,172.746,172.746,0.000,176.433,3.097,1,0,1,1,1
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,156.197,156.197,0.000,159.856,3.073,1,0,1,1,1
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,167.613,167.613,0.000,171.324,3.119,1,0,1,1,1
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,157.249,157.249,0.000,160.885,3.053,1,0,1,1,1
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,181.353,181.353,0.000,184.983,3.053,1,0,1,1,1
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,160.915,160.915,0.000,164.543,3.045,1,0,1,1,1
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,89.062,89.062,0.000,101.208,1.732,1,0,1,1,1
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,83.758,83.758,0.000,85.331,1.314,1,0,1,1,1
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,83.154,83.154,0.000,84.701,1.293,1,0,1,1,1
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,83.786,83.786,0.000,85.369,1.330,1,0,1,1,1
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,82.875,82.875,0.000,94.594,1.340,1,0,1,1,1
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,83.063,83.063,0.000,84.616,1.296,1,0,1,1,1
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,82.534,82.534,0.000,84.087,1.298,1,0,1,1,1
