run_id,manifest_sha256,method,phase,ms
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,tree_localisation_ms,184.418
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,candidate_row_fetch_ms,16.202
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,row_comparison_ms,0.541
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_sql_building_ms,0.567
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_dml_wire_ms,17.881
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_commit_wire_ms,8.931
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_begin_wire_ms,0.113
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_transaction_block_ms,27.546
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_write_ms,27.551
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,targeted_post_repair_confirmation_ms,3.523
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,recovery_observability_ms,0.001
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,recovery_orchestration_ms,1.404
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_exact_table_compare_ms,38320.864
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_merkle_root_hash_ms,1.334
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_merkle_verify_ms,30306.848
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_schema_fidelity_ms,2.157
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,merkle_total_ms,71590.823
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,tree_localisation_ms,190.703
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,candidate_row_fetch_ms,16.584
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,row_comparison_ms,0.547
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_sql_building_ms,0.581
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_dml_wire_ms,17.871
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_commit_wire_ms,8.902
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_begin_wire_ms,0.113
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_transaction_block_ms,27.523
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_write_ms,27.528
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,targeted_post_repair_confirmation_ms,3.527
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,recovery_observability_ms,0.001
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,recovery_orchestration_ms,1.390
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_exact_table_compare_ms,35646.685
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_merkle_root_hash_ms,1.290
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_merkle_verify_ms,30557.599
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_schema_fidelity_ms,2.233
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,merkle_total_ms,69174.550
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,tree_localisation_ms,189.766
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,candidate_row_fetch_ms,16.589
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,row_comparison_ms,0.540
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_sql_building_ms,0.552
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_dml_wire_ms,17.804
