benchmark,mode,workload,warehouses,server_workers,bcdb_workers,pool_size,total_queries,wall_time_ms,tps,merkle_pass,divergence_count,permanent_failures,trial
tpcc,pg,tpcc-workload-20000-w5-seed42.txt,5,32,1,32,20000,10879.0,1838.40,1,0,0,1
tpcc,pg,tpcc-workload-20000-w10-seed42.txt,10,32,1,32,20000,6254.0,3197.95,1,0,0,1
tpcc,pg,tpcc-workload-20000-w20-seed42.txt,20,32,1,32,20000,5305.0,3770.03,1,0,0,1
tpcc,pg,tpcc-workload-20000-w30-seed42.txt,30,32,1,32,20000,3906.0,5120.33,1,0,0,1
tpcc,pg,tpcc-workload-20000-w50-seed42.txt,50,32,1,32,20000,9181.0,2178.41,1,0,0,1
tpcc,pg,tpcc-workload-20000-w75-seed42.txt,75,32,1,32,20000,3611.0,5538.63,1,0,0,1
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,32,1,32,20000,3203.0,6244.15,1,0,0,1
tpcc,bcdb_det,tpcc-workload-20000-w5-seed42.txt,5,32,32,32,20000,10712.0,1867.06,1,0,0,1
tpcc,bcdb_det,tpcc-workload-20000-w10-seed42.txt,10,32,32,32,20000,7299.0,2740.10,1,0,0,1
tpcc,bcdb_det,tpcc-workload-20000-w20-seed42.txt,20,32,32,32,20000,5553.0,3601.66,1,0,0,1
tpcc,bcdb_det,tpcc-workload-20000-w30-seed42.txt,30,32,32,32,20000,4978.0,4017.68,1,0,0,1
tpcc,bcdb_det,tpcc-workload-20000-w50-seed42.txt,50,32,32,32,20000,4362.0,4585.05,1,0,0,1
tpcc,bcdb_det,tpcc-workload-20000-w75-seed42.txt,75,32,32,32,20000,4245.0,4711.43,1,0,0,1
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,4199.0,4763.04,1,0,0,1
tpcc,bcdb_merkle,tpcc-workload-20000-w5-seed42.txt,5,32,32,32,20000,27793.0,719.61,1,0,0,1
tpcc,bcdb_merkle,tpcc-workload-20000-w10-seed42.txt,10,32,32,32,20000,25465.0,785.39,1,0,0,1
tpcc,bcdb_merkle,tpcc-workload-20000-w20-seed42.txt,20,32,32,32,20000,27354.0,731.15,1,0,0,1
tpcc,bcdb_merkle,tpcc-workload-20000-w30-seed42.txt,30,32,32,32,20000,27035.0,739.78,1,0,0,1
tpcc,bcdb_merkle,tpcc-workload-20000-w50-seed42.txt,50,32,32,32,20000,27777.0,720.02,1,0,0,1
tpcc,bcdb_merkle,tpcc-workload-20000-w75-seed42.txt,75,32,32,32,20000,27788.0,719.74,1,0,0,1
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,42686.0,468.54,1,0,0,1
tpcc,pg,tpcc-workload-20000-w5-seed42.txt,5,32,1,32,20000,11162.0,1791.79,1,0,0,2
tpcc,pg,tpcc-workload-20000-w10-seed42.txt,10,32,1,32,20000,6197.0,3227.37,1,0,0,2
tpcc,pg,tpcc-workload-20000-w20-seed42.txt,20,32,1,32,20000,5062.0,3951.01,1,0,0,2
tpcc,pg,tpcc-workload-20000-w30-seed42.txt,30,32,1,32,20000,10886.0,1837.22,1,0,0,2
tpcc,pg,tpcc-workload-20000-w50-seed42.txt,50,32,1,32,20000,3646.0,5485.46,1,0,0,2
tpcc,pg,tpcc-workload-20000-w75-seed42.txt,75,32,1,32,20000,3507.0,5702.88,1,0,0,2
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,32,1,32,20000,8230.0,2430.13,1,0,0,2
tpcc,bcdb_det,tpcc-workload-20000-w5-seed42.txt,5,32,32,32,20000,10607.0,1885.55,1,0,0,2
tpcc,bcdb_det,tpcc-workload-20000-w10-seed42.txt,10,32,32,32,20000,7332.0,2727.77,1,0,0,2
tpcc,bcdb_det,tpcc-workload-20000-w20-seed42.txt,20,32,32,32,20000,5528.0,3617.95,1,0,0,2
tpcc,bcdb_det,tpcc-workload-20000-w30-seed42.txt,30,32,32,32,20000,5044.0,3965.11,1,0,0,2
tpcc,bcdb_det,tpcc-workload-20000-w50-seed42.txt,50,32,32,32,20000,4359.0,4588.21,1,0,0,2
tpcc,bcdb_det,tpcc-workload-20000-w75-seed42.txt,75,32,32,32,20000,4461.0,4483.30,1,0,0,2
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,4035.0,4956.63,1,0,0,2
tpcc,bcdb_merkle,tpcc-workload-20000-w5-seed42.txt,5,32,32,32,20000,27389.0,730.22,1,0,0,2
tpcc,bcdb_merkle,tpcc-workload-20000-w10-seed42.txt,10,32,32,32,20000,25334.0,789.45,1,0,0,2
tpcc,bcdb_merkle,tpcc-workload-20000-w20-seed42.txt,20,32,32,32,20000,27325.0,731.93,1,0,0,2
tpcc,bcdb_merkle,tpcc-workload-20000-w30-seed42.txt,30,32,32,32,20000,27338.0,731.58,1,0,0,2
tpcc,bcdb_merkle,tpcc-workload-20000-w50-seed42.txt,50,32,32,32,20000,27491.0,727.51,1,0,0,2
tpcc,bcdb_merkle,tpcc-workload-20000-w75-seed42.txt,75,32,32,32,20000,27731.0,721.21,1,0,0,2
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,37515.0,533.12,1,0,0,2
