mode,warehouses,server_workers,trials_count,median_tps,mean_tps,std_tps,min_tps,max_tps,median_wall_time_ms,mean_wall_time_ms,merkle_pass,divergence_count,permanent_failures
bcdb_det,5,32,3,1878.9928598271326,1877.200046641727,9.373127316656323,1867.06,1885.5472800980485,10644.0,10654.333333333334,1,0,0
bcdb_det,10,32,3,2740.1,2740.2645560032374,12.578956076558736,2727.768685215494,2752.924982794219,7299.0,7298.666666666667,1,0,0
bcdb_det,20,32,3,3601.66,2752.5318192412487,1484.8587068270965,1037.9904504878555,3617.9450072358904,5553.0,10116.333333333334,1,0,0
bcdb_det,30,32,3,4017.68,4007.1864237125787,37.93712081725905,3965.1070578905633,4038.772213247173,4978.0,4991.333333333333,1,0,0
bcdb_det,50,32,3,4588.2083046570315,4587.857580398645,2.649684631630394,4585.05,4590.314436538903,4359.0,4359.333333333333,1,0,0
bcdb_det,75,32,3,4632.84688441047,4609.192197665329,115.89010147105802,4483.299708585519,4711.43,4317.0,4341.0,1,0,0
bcdb_det,100,32,3,4763.04,3754.2137518540676,1917.4364580751565,1542.9717636167259,4956.629491945477,4199.0,7065.333333333333,1,0,0
bcdb_merkle,5,32,3,723.4319612240469,724.4207075342342,5.373741300966294,719.61,730.2201613786557,27646.0,27609.333333333332,1,0,0
bcdb_merkle,10,32,3,789.4529091339701,788.4939151045344,2.7526936755706193,785.39,790.6388361796331,25334.0,25365.0,1,0,0
bcdb_merkle,20,32,3,731.9304666056724,733.9776761923104,4.239771874639794,731.15,738.8525619712586,27325.0,27249.333333333332,1,0,0
bcdb_merkle,30,32,3,731.5824127587972,734.1105375130194,4.921042563940469,730.9674354007528,739.781764379508,27338.0,27244.666666666668,1,0,0
bcdb_merkle,50,32,3,720.0201605644958,597.2411974908761,219.17850751021106,344.1926101846593,727.5108217234731,27777.0,37791.666666666664,1,0,0
bcdb_merkle,75,32,3,719.7351374694113,719.4537472509452,1.9170251336136868,717.4115790228855,721.2145252605387,27788.0,27799.0,1,0,0
bcdb_merkle,100,32,3,468.53769385747086,425.9453415320971,133.66135800995946,276.1782454396067,533.1200852992137,42686.0,50872.666666666664,1,0,0
pg,5,32,3,1791.7935853789643,1797.9021677036956,37.815405011218374,1763.5129177321226,1838.4,11162.0,11127.333333333334,1,0,0
pg,10,32,3,3197.95,3070.7953619296613,246.15496320430313,2787.0680044593087,3227.3680813296755,6254.0,6542.333333333333,1,0,0
pg,20,32,3,3951.007506914263,4006.4465591856197,268.4641278763695,3770.03,4298.302170642596,5062.0,5006.666666666667,1,0,0
pg,30,32,3,4491.354143274197,3816.3020878095076,1742.5472148170086,1837.2221201543268,5120.33,4453.0,6415.0,1,0,0
pg,50,32,3,5485.463521667581,4408.536261023046,1931.7224696236738,2178.41,5561.735261401557,3646.0,5474.333333333333,1,0,0
pg,75,32,3,5538.63,5019.920398436205,1043.9114353964528,3818.251240931653,5702.87995437696,3611.0,4118.666666666667,1,0,0
pg,100,32,3,6244.15,5022.034043235513,2245.865579724788,2430.1336573511544,6391.818472355385,3203.0,4854.0,1,0,0
