benchmark,mode,workload,warehouses,server_workers,bcdb_workers,pool_size,total_queries,wall_time_ms,tps,merkle_pass,divergence_count,permanent_failures,trial
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,8,1,8,20000,11026.0,1813.89,1,0,0,1
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,16,1,16,20000,22142.0,903.26,1,0,0,1
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,24,1,24,20000,3836.0,5213.76,1,0,0,1
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,32,1,32,20000,3269.0,6118.08,1,0,0,1
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,8,8,8,20000,13076.0,1529.52,1,0,0,1
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,16,16,16,20000,18692.0,1069.98,1,0,0,1
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,24,24,24,20000,4799.0,4167.53,1,0,0,1
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,4019.0,4976.36,1,0,0,1
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,8,8,8,20000,48689.0,410.77,1,0,0,1
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,16,16,16,20000,50780.0,393.86,1,0,0,1
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,24,24,24,20000,27244.0,734.11,1,0,0,1
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,28339.0,705.74,1,0,0,1
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,8,1,8,20000,10946.0,1827.15,1,0,0,2
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,16,1,16,20000,6023.0,3320.60,1,0,0,2
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,24,1,24,20000,4086.0,4894.76,1,0,0,2
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,32,1,32,20000,3428.0,5834.31,1,0,0,2
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,8,8,8,20000,16527.0,1210.14,1,0,0,2
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,16,16,16,20000,7879.0,2538.39,1,0,0,2
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,24,24,24,20000,4973.0,4021.72,1,0,0,2
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,4258.0,4697.04,1,0,0,2
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,8,8,8,20000,35254.0,567.31,1,0,0,2
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,16,16,16,20000,79596.0,251.27,1,0,0,2
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,24,24,24,20000,27320.0,732.06,1,0,0,2
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,27934.0,715.97,1,0,0,2
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,8,1,8,20000,10673.0,1873.89,1,0,0,3
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,16,1,16,20000,5740.0,3484.32,1,0,0,3
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,24,1,24,20000,3826.0,5227.39,1,0,0,3
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,32,1,32,20000,3191.0,6267.63,1,0,0,3
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,8,8,8,20000,13016.0,1536.57,1,0,0,3
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,16,16,16,20000,7730.0,2587.32,1,0,0,3
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,24,24,24,20000,5144.0,3888.02,1,0,0,3
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,4144.0,4826.25,1,0,0,3
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,8,8,8,20000,35020.0,571.10,1,0,0,3
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,16,16,16,20000,31552.0,633.87,1,0,0,3
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,24,24,24,20000,62587.0,319.56,1,0,0,3
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,28248.0,708.01,1,0,0,3
