mode,warehouses,server_workers,trials_count,median_tps,mean_tps,std_tps,min_tps,max_tps,median_wall_time_ms,mean_wall_time_ms,merkle_pass,divergence_count,permanent_failures
bcdb_det,100,8,3,1529.5197308045274,1425.4103623840117,186.46208107734248,1210.140981424336,1536.5703749231716,13076.0,14206.333333333334,1,0,0
bcdb_det,100,16,3,2538.393197106232,2065.2305930760804,862.2624897290726,1069.9764605178686,2587.3221216041397,7879.0,11433.666666666666,1,0,0
bcdb_det,100,24,3,4021.717273275689,4025.759019913252,139.79883608761762,3888.024883359253,4167.534903104814,4973.0,4972.0,1,0,0
bcdb_det,100,32,3,4826.254826254826,4833.21932322809,139.79088443662113,4697.040864255519,4976.3622791739235,4144.0,4140.333333333333,1,0,0
bcdb_merkle,100,8,3,567.3115107505531,516.3947126447413,91.4929722299221,410.7703998849843,571.1022272986864,35254.0,39654.333333333336,1,0,0
bcdb_merkle,100,16,3,393.85584875935405,426.3329986985309,193.359209370724,251.26890798532588,633.8742393509128,50780.0,53976.0,1,0,0
bcdb_merkle,100,24,3,732.0644216691069,595.2420643789574,238.75402952380892,319.5551791905667,734.1065922771986,27320.0,39050.333333333336,1,0,0
bcdb_merkle,100,32,3,708.0147267063155,709.9097657324481,5.3728632802907335,705.7412047002365,715.9733657907925,28248.0,28173.666666666668,1,0,0
pg,100,8,3,1827.151470856934,1838.31109385651,31.514938398864274,1813.894431344096,1873.8873793685,10946.0,10881.666666666666,1,0,0
pg,100,16,3,3320.6043499916987,2569.395226289229,1445.2348478757783,903.2607713846987,3484.320557491289,6023.0,11301.666666666666,1,0,0
pg,100,24,3,5213.76433785193,5111.9728244971175,188.23292755088517,4894.762604013705,5227.391531625719,3836.0,3916.0,1,0,0
pg,100,32,3,6118.07892321811,6073.337447917387,220.09846760945467,5834.3057176196035,6267.627702914448,3269.0,3296.0,1,0,0
