benchmark,mode,workload,warehouses,server_workers,bcdb_workers,pool_size,total_queries,wall_time_ms,tps,merkle_pass,divergence_count,permanent_failures,trial,run_id
tpcc,bcdb_det,tpcc-workload-20000-w30-seed42.txt,30,32,32,32,20000,18369,1088.79,1,0,0,1,tpcc_4669f19a613d4203be78f7c6ff2a601a
tpcc,pg,tpcc-workload-20000-w30-seed42.txt,30,32,1,32,20000,4950,4040.40,1,0,0,1,tpcc_204ef6b1e9b34a70a6f7c2c9380d7ef4
tpcc,bcdb_merkle,tpcc-workload-20000-w30-seed42.txt,30,32,32,32,20000,41362,483.54,1,0,0,1,tpcc_dba3184f5d3546edba648866c22bb59a
tpcc,pg,tpcc-workload-20000-w50-seed42.txt,50,32,1,32,20000,5126,3901.68,1,0,0,1,tpcc_21853a1336d34bc7b711dfb0bf0df286
tpcc,bcdb_merkle,tpcc-workload-20000-w50-seed42.txt,50,32,32,32,20000,52314,382.31,1,0,0,1,tpcc_45fdaa4f3c0640228cfa4a49e86e6af5
tpcc,bcdb_det,tpcc-workload-20000-w50-seed42.txt,50,32,32,32,20000,15090,1325.38,1,0,0,1,tpcc_c21b34fc08ef49b78b1dba2b9addc86c
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,17961,1113.52,1,0,0,1,tpcc_f387658edc1049ee85175161138a8baa
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,32,1,32,20000,4758,4203.45,1,0,0,1,tpcc_be7108b642964d668fe7174432e216ff
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,65302,306.27,1,0,0,1,tpcc_8ad2954311464540b3b0337d84e8932c
tpcc,pg,tpcc-workload-20000-w10-seed42.txt,10,32,1,32,20000,6759,2959.02,1,0,0,1,tpcc_d14c7f4c99744ee3978eae711b5c2f61
tpcc,bcdb_merkle,tpcc-workload-20000-w10-seed42.txt,10,32,32,32,20000,46761,427.71,1,0,0,1,tpcc_174f809ef003438893e1b32aa84a5f15
tpcc,bcdb_det,tpcc-workload-20000-w10-seed42.txt,10,32,32,32,20000,28713,696.55,1,0,0,1,tpcc_aa7e42f0a8554cfab794ac487ff060ed
tpcc,bcdb_merkle,tpcc-workload-20000-w20-seed42.txt,20,32,32,32,20000,49495,404.08,1,0,0,1,tpcc_3e26a736279e42a797954ff82cc68bf7
tpcc,bcdb_det,tpcc-workload-20000-w20-seed42.txt,20,32,32,32,20000,22057,906.74,1,0,0,1,tpcc_0acb307ccc11494282e43ce3d13d201c
tpcc,pg,tpcc-workload-20000-w20-seed42.txt,20,32,1,32,20000,5923,3376.67,1,0,0,1,tpcc_0bef670d04b14d5ba6ac3610b448ae78
tpcc,bcdb_merkle,tpcc-workload-20000-w75-seed42.txt,75,32,32,32,20000,36928,541.59,1,0,0,1,tpcc_107775c0e02b44dc9697d957f0085699
tpcc,bcdb_det,tpcc-workload-20000-w75-seed42.txt,75,32,32,32,20000,12676,1577.78,1,0,0,1,tpcc_417dd4e16ccc4e89a1e20a89857a49d7
tpcc,pg,tpcc-workload-20000-w75-seed42.txt,75,32,1,32,20000,4828,4142.50,1,0,0,1,tpcc_6db2b161ddd44f489fa8cdc20f44b34b
tpcc,bcdb_det,tpcc-workload-20000-w5-seed42.txt,5,32,32,32,20000,36269,551.44,1,0,0,1,tpcc_b70d6e59d32746d29da204338ddd4bd2
tpcc,pg,tpcc-workload-20000-w5-seed42.txt,5,32,1,32,20000,18447,1084.19,1,0,0,1,tpcc_66ece2c0e086429498b6fb7ec99b43cd
tpcc,bcdb_merkle,tpcc-workload-20000-w5-seed42.txt,5,32,32,32,20000,71359,280.27,1,0,0,1,tpcc_c10ef6e0e8834c0a9926248ec80a3eba
tpcc,pg,tpcc-workload-20000-w30-seed42.txt,30,32,1,32,20000,5102,3920.03,1,0,0,2,tpcc_f54ef4a43b114c1781871041c62d8f67
tpcc,bcdb_merkle,tpcc-workload-20000-w30-seed42.txt,30,32,32,32,20000,41468,482.30,1,0,0,2,tpcc_64c6951b4045435484c70ea85e865dc6
tpcc,bcdb_det,tpcc-workload-20000-w30-seed42.txt,30,32,32,32,20000,18467,1083.01,1,0,0,2,tpcc_57badebdfc784d46aa7fb629cc0df83f
tpcc,bcdb_merkle,tpcc-workload-20000-w10-seed42.txt,10,32,32,32,20000,46782,427.51,1,0,0,2,tpcc_5959ac3638604d058da32d78c7aa92c4
tpcc,bcdb_det,tpcc-workload-20000-w10-seed42.txt,10,32,32,32,20000,29184,685.31,1,0,0,2,tpcc_4c5f269a5b9343f58561fc9a76eba43d
tpcc,pg,tpcc-workload-20000-w10-seed42.txt,10,32,1,32,20000,7019,2849.41,1,0,0,2,tpcc_26e6e5d4da944a6ba01294c1e11621ec
tpcc,bcdb_det,tpcc-workload-20000-w20-seed42.txt,20,32,32,32,20000,22049,907.07,1,0,0,2,tpcc_9f70063e29bf45a19705eebcf7c5f6f5
tpcc,pg,tpcc-workload-20000-w20-seed42.txt,20,32,1,32,20000,5695,3511.85,1,0,0,2,tpcc_bbf7b244254c4a539855e67b23041488
tpcc,bcdb_merkle,tpcc-workload-20000-w20-seed42.txt,20,32,32,32,20000,49403,404.83,1,0,0,2,tpcc_cd824326303f45a192b6ff1079616663
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,32,1,32,20000,4613,4335.57,1,0,0,2,tpcc_9d0755a7722142a8b119a37e9836c26a
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,36105,553.94,1,0,0,2,tpcc_bfbd3f799cdf4d7187b350260b853df4
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,11429,1749.93,1,0,0,2,tpcc_2ca505e450a8455a8aadee31d41bbb32
tpcc,bcdb_merkle,tpcc-workload-20000-w50-seed42.txt,50,32,32,32,20000,54475,367.14,1,0,0,2,tpcc_a199319a9e6d4573a81d281c470ca4a1
tpcc,bcdb_det,tpcc-workload-20000-w50-seed42.txt,50,32,32,32,20000,15095,1324.94,1,0,0,2,tpcc_66742946ebe84056ade606d24ddba144
tpcc,pg,tpcc-workload-20000-w50-seed42.txt,50,32,1,32,20000,4761,4200.80,1,0,0,2,tpcc_8aa71aec9d3844e2bd364ccc1cbd183e
tpcc,pg,tpcc-workload-20000-w5-seed42.txt,5,32,1,32,20000,11131,1796.78,1,0,0,2,tpcc_e5fd607a20614b5e8d90dc623ec67477
tpcc,bcdb_merkle,tpcc-workload-20000-w5-seed42.txt,5,32,32,32,20000,71096,281.31,1,0,0,2,tpcc_43b8f41fe5fa469fb4cfe4e2d9f39e9f
tpcc,bcdb_det,tpcc-workload-20000-w5-seed42.txt,5,32,32,32,20000,36053,554.74,1,0,0,2,tpcc_0f3b9b3a02be454385c8f6d1080d7b58
tpcc,bcdb_det,tpcc-workload-20000-w75-seed42.txt,75,32,32,32,20000,12579,1589.95,1,0,0,2,tpcc_7475acd85861486387213f282be09708
tpcc,pg,tpcc-workload-20000-w75-seed42.txt,75,32,1,32,20000,4646,4304.78,1,0,0,2,tpcc_8e5053f9036a4d128468db02e560aa83
tpcc,bcdb_merkle,tpcc-workload-20000-w75-seed42.txt,75,32,32,32,20000,36895,542.08,1,0,0,2,tpcc_957eaa9fb9644351bfb9f74a62ad79b2
tpcc,bcdb_merkle,tpcc-workload-20000-w30-seed42.txt,30,32,32,32,20000,41351,483.66,1,0,0,3,tpcc_3e12e1e2a94f40afa1d26b4da71c51a6
tpcc,bcdb_det,tpcc-workload-20000-w30-seed42.txt,30,32,32,32,20000,18409,1086.43,1,0,0,3,tpcc_a427ff4e6f624c099a905afba5d29d70
tpcc,pg,tpcc-workload-20000-w30-seed42.txt,30,32,1,32,20000,4834,4137.36,1,0,0,3,tpcc_5a46ecc9923b470fa8b150ce700d23c8
tpcc,pg,tpcc-workload-20000-w20-seed42.txt,20,32,1,32,20000,5483,3647.64,1,0,0,3,tpcc_8fabc86ca31b44d1ba3629524e0ca3ea
tpcc,bcdb_merkle,tpcc-workload-20000-w20-seed42.txt,20,32,32,32,20000,49368,405.12,1,0,0,3,tpcc_541b3c41ffcc4fa195620ad7f3e4785a
tpcc,bcdb_det,tpcc-workload-20000-w20-seed42.txt,20,32,32,32,20000,24818,805.87,1,0,0,3,tpcc_6b9010f6cbfb4536947e93627b7ebc4f
tpcc,bcdb_det,tpcc-workload-20000-w50-seed42.txt,50,32,32,32,20000,15219,1314.15,1,0,0,3,tpcc_ab7f54bff7944e1190bee0627501bc32
tpcc,pg,tpcc-workload-20000-w50-seed42.txt,50,32,1,32,20000,4865,4111.00,1,0,0,3,tpcc_1daca1319bf445a3b5b6e28b1d061c40
tpcc,bcdb_merkle,tpcc-workload-20000-w50-seed42.txt,50,32,32,32,20000,53520,373.69,1,0,0,3,tpcc_8e9481d5f827416e86bcfefc7afa6407
