mode,warehouses,server_workers,trials_count,median_tps,mean_tps,std_tps,min_tps,max_tps,median_wall_time_ms,mean_wall_time_ms,merkle_pass,divergence_count,permanent_failures
bcdb_det,5,32,3,551.4351098734456,551.9050332368262,2.630532920837003,549.5411331538165,554.7388566832163,36269,36238.666666666664,1,0,0
bcdb_det,10,32,3,685.3070175438596,668.5554932565412,39.155522224756155,623.8108605470821,696.5486016786821,29184,29986,1,0,0
bcdb_det,20,32,3,906.7416239742486,873.2263163559619,58.33536252493186,805.8667096462245,907.0706154474126,22057,22974.666666666668,1,0,0
bcdb_det,30,32,3,1086.4251181487316,1086.0763192871611,2.904726925564297,1083.012942004657,1088.7908977080951,18409,18415,1,0,0
bcdb_det,50,32,3,1324.942033786022,1321.4899570111713,6.363156238311857,1314.146790196465,1325.3810470510273,15095,15134.666666666666,1,0,0
bcdb_det,75,32,3,1589.9515064790523,1586.2332083096526,7.3340147830930436,1577.784790154623,1590.9633282952827,12579,12608.666666666666,1,0,0
bcdb_det,100,32,3,1749.9343774608453,1540.5666271988282,369.8533087573817,1113.5237458938811,1758.2417582417581,11429,13588.333333333334,1,0,0
bcdb_merkle,5,32,3,281.30977832789466,304.8240150680799,41.628969187474276,280.27298588825516,352.88928098809,71096,66376.66666666667,1,0,0
bcdb_merkle,10,32,3,427.5148561412509,427.54839902050844,0.14462661480493108,427.42349119507605,427.70684972519837,46782,46778.333333333336,1,0,0
bcdb_merkle,20,32,3,404.83371455174785,404.6785536177914,0.5368418633208617,404.08122032528536,405.12072597634096,49403,49422,1,0,0
bcdb_merkle,30,32,3,483.53561239785313,483.16648573219067,0.7534909207921038,482.2996045143243,483.66424028439457,41362,41393.666666666664,1,0,0
bcdb_merkle,50,32,3,373.69207772795215,374.37993583798976,7.606337161224325,367.140890316659,382.3068394693581,53520,53436.333333333336,1,0,0
bcdb_merkle,75,32,3,541.5944540727903,488.42905716634345,92.50500438282765,381.6138449502948,542.0788724759452,36928,42077.333333333336,1,0,0
bcdb_merkle,100,32,3,553.939897521119,471.9164515527427,143.45684379698852,306.2693332516615,555.5401238854477,36105,45802.666666666664,1,0,0
pg,5,32,3,1253.2898859506204,1378.0869245747383,372.32944231910255,1084.1871306987587,1796.783757074836,15958,15178.666666666666,1,0,0
pg,10,32,3,2849.4087476848554,2835.705829546411,130.70308105085215,2698.691134799622,2959.017606154757,7019,7063,1,0,0
pg,20,32,3,3511.8525021949076,3512.0526286448467,135.4855732782584,3376.6672294445384,3647.638154295094,5695,5700.333333333333,1,0,0
pg,30,32,3,4040.40404040404,4032.5985882475447,108.87455069805213,3920.031360250882,4137.360364087712,4950,4962,1,0,0
pg,50,32,3,4110.996916752312,4071.1575966071123,153.48822924661005,3901.6777214202107,4200.7981516488135,4865,4917.333333333333,1,0,0
pg,75,32,3,4304.778303917348,4283.5423061804495,131.71251026023666,4142.502071251036,4403.346543372963,4646,4672,1,0,0
pg,100,32,3,4335.5733795794495,4327.163406434835,119.73331494924494,4203.446826397646,4442.47001332741,4613,4624.333333333333,1,0,0
