benchmark,mode,workload,warehouses,server_workers,bcdb_workers,pool_size,total_queries,wall_time_ms,tps,merkle_pass,divergence_count,permanent_failures,trial,run_id
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,11495,1739.89,1,0,0,1,tpcc_bd0991ff382640e6979f14dde65b17cc
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,32,1,32,20000,4728,4230.12,1,0,0,1,tpcc_a60b423284ac4edca945e0e99f51b53b
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,36160,553.10,1,0,0,1,tpcc_45cd3df6d4964d738a83187b5bdc9cb9
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,16,1,16,20000,7303,2738.60,1,0,0,1,tpcc_2e8f4683b7764852a7b340b43bc50844
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,16,16,16,20000,35242,567.50,1,0,0,1,tpcc_17da709cdcb24a228cb450370c63060e
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,16,16,16,20000,11542,1732.80,1,0,0,1,tpcc_5001ce730ca4411f87a613dd9c3549c8
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,24,24,24,20000,36729,544.53,1,0,0,1,tpcc_6a385239678d402f8a1202f406538563
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,24,24,24,20000,11049,1810.12,1,0,0,1,tpcc_1791b5e9eec54810a004a241ec979b91
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,24,1,24,20000,5764,3469.81,1,0,0,1,tpcc_eeb27753a26143cc8ce89f248f85269a
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,8,8,8,20000,15026,1331.03,1,0,0,1,tpcc_47cf0ae71282454ea2a6ec982c54c7e8
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,8,1,8,20000,12090,1654.26,1,0,0,1,tpcc_53ec4cf3f67b4978bc52234d5c948fba
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,8,8,8,20000,37801,529.09,1,0,0,1,tpcc_55866f65ed604b7ab32e3529b6413248
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,32,1,32,20000,4427,4517.73,1,0,0,2,tpcc_88fb2c121a3740129fcb37c58b8c6f9f
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,36033,555.05,1,0,0,2,tpcc_2934a9f58bf74ddfae626a69c6d78f06
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,11380,1757.47,1,0,0,2,tpcc_377aabaf8bc34cf0aa9f85b64fe97556
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,24,24,24,20000,10912,1832.84,1,0,0,2,tpcc_ba3f8d6a65284eccb2d4d8edb9464fa0
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,24,1,24,20000,10528,1899.70,1,0,0,2,tpcc_02963bdd3f2a482791e6820eee55f7ce
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,24,24,24,20000,74119,269.84,1,0,0,2,tpcc_f3619446f1c84defb7897ae11693ffa2
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,8,1,8,20000,12173,1642.98,1,0,0,2,tpcc_437951040d544128958ce6c3fdcd13d9
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,8,8,8,20000,61699,324.15,1,0,0,2,tpcc_08f2a589874e46e1b5567c4440a6cbb5
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,8,8,8,20000,15306,1306.68,1,0,0,2,tpcc_762332b2541f48178dc9b2f13ed2c773
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,16,16,16,20000,35206,568.08,1,0,0,2,tpcc_7cb64fb7f86341928b701ecee2b7644e
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,16,16,16,20000,11507,1738.07,1,0,0,2,tpcc_b5cbf22b14ee41329ae97624e66c3a90
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,16,1,16,20000,7287,2744.61,1,0,0,2,tpcc_81e09052e1e1410b914ab027d0323602
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,16,16,16,20000,11446,1747.34,1,0,0,3,tpcc_317fd1d949e346bf90b611b50df81bc9
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,16,1,16,20000,7290,2743.48,1,0,0,3,tpcc_6bc61dca747343c3a0b2a6aa5d046442
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,16,16,16,20000,35302,566.54,1,0,0,3,tpcc_12870d4123834ec5b9248699e09042b7
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,61905,323.08,1,0,0,3,tpcc_f9038cf3f199436e900bd5f48a92dbd9
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,11424,1750.70,1,0,0,3,tpcc_3a7f21a0e1d34ec69496fafe917ea7d9
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,32,1,32,20000,4623,4326.20,1,0,0,3,tpcc_a1bbadfa97534551ad104dff55995e44
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,24,1,24,20000,5611,3564.43,1,0,0,3,tpcc_d1854abea04348e094fcc1cd47ddf8d3
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,24,24,24,20000,35384,565.23,1,0,0,3,tpcc_513a36d6abe64bdfb6f7fdf39872cf52
