mode,workload,workers,total_queries,measured_tps,wall_time_ms,status_line,signatures_signed,signatures_verified,signature_mismatches,sign_ns_per_op,verify_ns_per_op,total_sign_ms,total_verify_ms,total_crypto_ms,crypto_wall_pct,divergence_count,permanent_failures,merkle_pass,status,run_id,duration_s
blake3,ycsb_workload_a_skew_0_00_20k.txt,16,20000,14367.8,1392.0,ENABLED,20000,20000,0,377.491,643.313,7.55,12.87,20.42,1.47,0,0,1,PASS,cluster4_20260925_203057_3983a7c1,35.5
blake3,ycsb_workload_a_skew_0_99_20k.txt,16,20000,11123.5,1798.0,ENABLED,20000,20000,0,369.261,695.112,7.39,13.9,21.29,1.18,0,0,1,PASS,cluster4_20260925_203133_68912ed2,28.0
blake3,ycsb_workload_b_skew_0_00_20k.txt,16,20000,25284.5,791.0,ENABLED,20000,20000,0,231.577,394.214,4.63,7.88,12.51,1.58,0,0,1,PASS,cluster4_20260925_203201_86f62fad,26.0
blake3,ycsb_workload_b_skew_0_99_20k.txt,16,20000,24691.4,810.0,ENABLED,20000,20000,0,230.525,391.568,4.61,7.83,12.44,1.54,0,0,1,PASS,cluster4_20260925_203227_81d052aa,28.1
blake3,ycsb_workload_c_skew_0_00_20k.txt,16,20000,48309.2,414.0,ENABLED,20000,20000,0,215.879,317.341,4.32,6.35,10.67,2.58,0,0,1,PASS,cluster4_20260925_203255_9b5ed319,27.3
blake3,ycsb_workload_c_skew_0_99_20k.txt,16,20000,50632.9,395.0,ENABLED,20000,20000,0,217.102,322.211,4.34,6.44,10.78,2.73,0,0,1,PASS,cluster4_20260925_203322_e2c47d11,28.5
blake3,ycsb_workload_d_skew_0_00_20k.txt,16,20000,24539.9,815.0,ENABLED,20000,20000,0,234.758,401.127,4.7,8.02,12.72,1.56,0,0,1,PASS,cluster4_20260925_203351_9301afa2,25.5
blake3,ycsb_workload_d_skew_0_99_20k.txt,16,20000,25413.0,787.0,ENABLED,20000,20000,0,231.07,406.853,4.62,8.14,12.76,1.62,0,0,1,PASS,cluster4_20260925_203416_7efdb995,28.6
blake3,ycsb_workload_f_skew_0_00_20k.txt,16,20000,15432.1,1296.0,ENABLED,20000,20000,0,319.744,598.475,6.39,11.97,18.36,1.42,0,0,1,PASS,cluster4_20260925_203445_3ed4f03b,27.0
blake3,ycsb_workload_f_skew_0_99_20k.txt,16,20000,13253.8,1509.0,ENABLED,20000,20000,0,318.656,623.472,6.37,12.47,18.84,1.25,0,0,1,PASS,cluster4_20260925_203512_90d9335c,29.1
0,ycsb_workload_a_skew_0_00_20k.txt,16,20000,14409.2,1388.0,DISABLED,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,PASS,cluster4_20260925_203541_b2da6814,29.7
0,ycsb_workload_a_skew_0_99_20k.txt,16,20000,10940.9,1828.0,DISABLED,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,PASS,cluster4_20260925_203610_eab62660,46.0
0,ycsb_workload_b_skew_0_00_20k.txt,16,20000,25188.9,794.0,DISABLED,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,PASS,cluster4_20260925_203656_c1f3039b,28.8
0,ycsb_workload_b_skew_0_99_20k.txt,16,20000,24691.4,810.0,DISABLED,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,PASS,cluster4_20260925_203725_dc8534ca,28.4
0,ycsb_workload_c_skew_0_00_20k.txt,16,20000,45248.9,442.0,DISABLED,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,PASS,cluster4_20260925_203754_229ef242,25.8
0,ycsb_workload_c_skew_0_99_20k.txt,16,20000,50377.8,397.0,DISABLED,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,PASS,cluster4_20260925_203819_5d98738d,26.9
0,ycsb_workload_d_skew_0_00_20k.txt,16,20000,24906.6,803.0,DISABLED,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,PASS,cluster4_20260925_203846_200f907b,28.2
0,ycsb_workload_d_skew_0_99_20k.txt,16,20000,24875.6,804.0,DISABLED,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,PASS,cluster4_20260925_203915_046dbf7c,26.4
0,ycsb_workload_f_skew_0_00_20k.txt,16,20000,15174.5,1318.0,DISABLED,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,PASS,cluster4_20260925_203941_469bb1fd,27.4
0,ycsb_workload_f_skew_0_99_20k.txt,16,20000,13422.8,1490.0,DISABLED,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,PASS,cluster4_20260925_204008_3b64538a,27.8
