tx_idx,latency_ms
0,417.1714
1,417.1733
2,417.1745
3,417.1750
4,417.1759
5,417.1767
6,417.1777
7,417.1780
8,417.1788
9,417.1800
10,417.1807
11,417.1812
12,417.1819
13,417.1827
14,417.1834
15,417.1838
16,417.1841
17,417.1848
18,417.1855
19,417.1859
20,417.1866
21,417.1869
22,417.1877
23,417.1880
24,417.1887
25,417.1894
26,417.1901
27,417.1909
28,417.1916
29,417.1919
30,417.1923
31,417.1930
32,417.1933
33,417.1937
34,417.1941
35,417.1944
36,417.1948
37,417.1955
38,417.1962
39,417.1966
40,417.1973
41,417.1976
42,417.1979
43,417.1987
44,417.1990
45,417.1995
46,417.2002
47,417.2009
48,417.2013
49,417.2016
50,417.2020
51,417.2023
52,417.2030
53,417.2037
54,417.2045
55,417.2052
56,417.2055
57,417.2063
58,417.2066
59,417.2071
60,417.2078
61,417.2082
62,417.2085
63,417.2093
64,417.2100
65,417.2112
66,417.2120
67,417.2127
68,417.2134
69,417.2137
70,417.2144
71,417.2148
72,417.2155
73,417.2158
74,417.2162
75,417.2165
76,417.2169
77,417.2172
78,417.2180
79,417.2183
80,417.2187
81,417.2194
82,417.2201
83,417.2208
84,417.2216
85,417.2219
86,417.2226
87,417.2234
88,417.2237
89,417.2241
90,417.2248
91,417.2255
92,417.2262
93,417.2269
94,417.2276
95,417.2280
96,417.2287
97,417.2294
98,417.2298
99,417.2306
100,417.2314
101,417.2321
102,417.2329
103,417.2336
104,417.2343
105,417.2350
106,417.2358
107,417.2361
108,417.2369
109,417.2376
110,417.2379
111,417.2383
112,417.2390
113,417.2398
114,417.2402
115,417.2405
116,417.2409
117,417.2413
118,417.2416
119,417.2423
120,417.2431
121,417.2438
122,417.2442
123,417.2449
124,417.2453
125,417.2457
126,417.2460
127,417.2465
128,417.2470
129,417.2478
130,417.2485
131,417.2489
132,417.2493
133,417.2502
134,417.2506
135,417.2510
136,417.2513
137,417.2517
138,417.2524
139,417.2531
140,417.2535
141,417.2543
142,417.2551
143,417.2554
144,417.2562
145,417.2569
146,417.2573
147,417.2576
148,417.2584
149,417.2587
150,417.2591
151,417.2595
152,417.2598
153,417.2602
154,417.2609
155,417.2616
156,417.2624
157,417.2631
158,417.2638
159,417.2647
160,417.2651
161,417.2654
162,417.2658
163,417.2666
164,417.2670
165,417.2673
166,417.2677
167,417.2684
168,417.2688
169,417.2695
170,417.2703
171,417.2710
172,417.2717
173,417.2721
174,417.2728
175,417.2732
176,417.2739
177,417.2743
178,417.2751
179,417.2758
180,417.2765
181,417.2773
182,417.2776
183,417.2780
184,417.2784
185,417.2788
186,417.2795
187,417.2798
188,417.2802
189,417.2809
190,417.2813
