mode,workload,server_workers,bcdb_workers,pool_size,total_queries,wall_time_ms,tps,merkle_pass,divergence_count,permanent_failures,run_id,shared_buffers,source_fingerprint,trial
cluster,ycsb_workload_a_skew_0_00_20k.txt,1,1,1,20000,7396.0,2704.16,1,0,0,cluster4_20260920_132046_d774a2d5,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_a_skew_0_50_20k.txt,1,1,1,20000,7331.0,2728.14,1,0,0,cluster4_20260920_132127_9587f23d,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_a_skew_0_99_20k.txt,1,1,1,20000,7358.0,2718.13,1,0,0,cluster4_20260920_132207_4a424f97,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_a_skew_1_20_20k.txt,1,1,1,20000,7382.0,2709.29,1,0,0,cluster4_20260920_132249_26bf5c61,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_b_skew_0_00_20k.txt,1,1,1,20000,2171.0,9212.34,1,0,0,cluster4_20260920_132334_cccd5a4f,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_b_skew_0_50_20k.txt,1,1,1,20000,2112.0,9469.7,1,0,0,cluster4_20260920_132408_1c09efbd,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_b_skew_0_99_20k.txt,1,1,1,20000,2149.0,9306.65,1,0,0,cluster4_20260920_132440_23be965a,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_b_skew_1_20_20k.txt,1,1,1,20000,2114.0,9460.74,1,0,0,cluster4_20260920_132512_22115781,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_c_skew_0_00_20k.txt,1,1,1,20000,1572.0,12722.65,1,0,0,cluster4_20260920_132547_3780ea38,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_c_skew_0_50_20k.txt,1,1,1,20000,1530.0,13071.9,1,0,0,cluster4_20260920_132621_8f745900,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_c_skew_0_99_20k.txt,1,1,1,20000,1564.0,12787.72,1,0,0,cluster4_20260920_132656_7039aa66,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_c_skew_1_20_20k.txt,1,1,1,20000,1552.0,12886.6,1,0,0,cluster4_20260920_132730_402e510a,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_d_skew_0_00_20k.txt,1,1,1,20000,2131.0,9385.27,1,0,0,cluster4_20260920_132802_a0e2e248,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_d_skew_0_50_20k.txt,1,1,1,20000,2081.0,9610.76,1,0,0,cluster4_20260920_132834_04fa44d5,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_d_skew_0_99_20k.txt,1,1,1,20000,2117.0,9447.33,1,0,0,cluster4_20260920_132910_6911fcfc,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_d_skew_1_20_20k.txt,1,1,1,20000,2140.0,9345.79,1,0,0,cluster4_20260920_132943_1beb414d,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_f_skew_0_00_20k.txt,1,1,1,20000,5479.0,3650.3,1,0,0,cluster4_20260920_133015_b6353d6c,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_f_skew_0_50_20k.txt,1,1,1,20000,5448.0,3671.07,1,0,0,cluster4_20260920_133055_fe3aafa6,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_f_skew_0_99_20k.txt,1,1,1,20000,5438.0,3677.82,1,0,0,cluster4_20260920_133135_6c115516,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
cluster,ycsb_workload_f_skew_1_20_20k.txt,1,1,1,20000,5539.0,3610.76,1,0,0,cluster4_20260920_133213_e60b0c57,32MB,e71f5d9cc61a71acbcda6829d71f8880a86e9f52e4fc08235c0c48f0e43dd529,1
