run_id,manifest_sha256,method,phase,ms
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,tree_localisation_ms,159.785
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,candidate_row_fetch_ms,13.720
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,row_comparison_ms,0.580
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_sql_building_ms,0.527
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_dml_wire_ms,17.813
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_commit_wire_ms,12.114
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_begin_wire_ms,0.110
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_transaction_block_ms,30.614
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_write_ms,30.619
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,targeted_post_repair_confirmation_ms,3.237
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,recovery_observability_ms,0.001
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,recovery_orchestration_ms,2.295
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_exact_table_compare_ms,37991.576
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_merkle_root_hash_ms,1.328
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_merkle_verify_ms,30288.908
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_schema_fidelity_ms,2.205
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,merkle_total_ms,68516.719
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,tree_localisation_ms,183.913
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,candidate_row_fetch_ms,14.866
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,row_comparison_ms,0.601
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_sql_building_ms,0.620
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_dml_wire_ms,19.679
