audit_merkle_root_hash_calls,audit_merkle_verify_calls,audit_mode,audit_user_table_seq_scan_delta,audit_validation_ms,audit_validation_positive,audit_validation_skipped,bad_leaf_count,bad_partition_count,batch_plan_actual_k_index_used,candidate_fetch_batches,candidate_fetch_sql_calls,candidate_leaf_buckets_requested,candidate_rows_fetched,candidate_rows_fetched_alias,child_hash_nodes_read,child_hash_sql_calls,cleanup_ms,confirmation_fetch_batches,confirmation_fetch_sql_calls,confirmation_leaf_buckets_requested,confirmation_rows_fetched,corrupted_tuple_count,corruption_mode,damaged_candidate_rows,end_to_end_covers_paper_and_audit,end_to_end_observed_ms,experiment,fanout,full_audit_skipped,healthy_candidate_rows,leaf_fetch_chunk_size,leaf_lookup_sql_calls,leaf_nodes_found,localisation_index_stats_available,localisation_index_stats_error,localisation_stats_flush_wait_ms,localisation_stats_probe_ms,manifest_sha256,mean_rows_per_bad_leaf,merge_threshold,method,p95_rows_per_bad_leaf,paper_end_before_audit_start,paper_style_total_ms,paper_total_ms,partition_root_batches,partition_root_batches_ok,partition_root_hash_sql_calls,partition_root_nodes_read,partition_subtree_nodes_read,partition_subtree_sql_calls,planner_checked_leaf_count,planner_checks_passed,profile_label,profiling_mode,recovery_only_ms,recovery_user_table_seq_scan_delta,repetition,restore_repair_ms,rows_deleted,rows_inserted,rows_updated,run_id,schema_fidelity_ok,selected_bad_leaf_row_capacity,split_threshold,targeted_confirmation_root_batches,targeted_confirmation_root_nodes_read,total_candidate_rows,total_ms,total_rows_repaired,tree_nodes_visited,tuple_count,valid,warning
2,2,full,6,68284.0174870491,1,0,75,60,1,4,4,150,678,678,13248,6,0.135,0,0,0,0,300,mixed,339,1,68516.719,size-scaling-k75-c300,32,0,339,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,9.04,8,merkle,11.0,1,210.237,210.237,1,1,2,400,13248,6,75,1,fanout_f32_l16,off,210.237,0,0,210.237,100,100,100,size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,1,339,32,1,120,678,68516.719,300,6624,10000000,1,
2,2,full,6,66018.29255390167,1,0,75,60,1,4,4,150,678,678,13248,6,0.139,0,0,0,0,300,mixed,339,1,66294.250,size-scaling-k75-c300,32,0,339,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,9.04,8,merkle,11.0,1,252.771,252.771,1,1,2,400,13248,6,75,1,fanout_f32_l16,off,252.771,0,1,252.771,100,100,100,size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,1,339,32,1,120,678,66294.250,300,6624,10000000,1,
2,2,full,6,66075.45430707932,1,0,75,60,1,4,4,150,678,678,13248,6,0.135,0,0,0,0,300,mixed,339,1,66274.343,size-scaling-k75-c300,32,0,339,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,9.04,8,merkle,11.0,1,186.750,186.750,1,1,2,400,13248,6,75,1,fanout_f32_l16,off,186.750,0,2,186.750,100,100,100,size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,1,339,32,1,120,678,66274.343,300,6624,10000000,1,
2,2,full,6,65867.2533249855,1,0,75,60,1,4,4,150,678,678,13248,6,0.137,0,0,0,0,300,mixed,339,1,66014.825,size-scaling-k75-c300,32,0,339,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,9.04,8,merkle,11.0,1,135.925,135.925,1,1,2,400,13248,6,75,1,fanout_f32_l16,off,135.925,0,3,135.925,100,100,100,size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,1,339,32,1,120,678,66014.825,300,6624,10000000,1,
2,2,full,6,65633.86366987228,1,0,75,60,1,4,4,150,678,678,13248,6,0.136,0,0,0,0,300,mixed,339,1,65780.161,size-scaling-k75-c300,32,0,339,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,9.04,8,merkle,11.0,1,134.569,134.569,1,1,2,400,13248,6,75,1,fanout_f32_l16,off,134.569,0,4,134.569,100,100,100,size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,1,339,32,1,120,678,65780.161,300,6624,10000000,1,
2,2,full,6,66275.98938131332,1,0,75,60,1,4,4,150,678,678,13248,6,0.136,0,0,0,0,300,mixed,339,1,66418.914,size-scaling-k75-c300,32,0,339,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,9.04,8,merkle,11.0,1,131.112,131.112,1,1,2,400,13248,6,75,1,fanout_f32_l16,off,131.112,0,5,131.112,100,100,100,size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,1,339,32,1,120,678,66418.914,300,6624,10000000,1,
2,2,full,6,66236.99558639526,1,0,75,60,1,4,4,150,678,678,13248,6,0.139,0,0,0,0,300,mixed,339,1,66380.702,size-scaling-k75-c300,32,0,339,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,9.04,8,merkle,11.0,1,132.473,132.473,1,1,2,400,13248,6,75,1,fanout_f32_l16,off,132.473,0,6,132.473,100,100,100,size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r6,1,339,32,1,120,678,66380.702,300,6624,10000000,1,
2,2,full,6,66259.60806179047,1,0,75,60,1,4,4,150,678,678,13248,6,0.135,0,0,0,0,300,mixed,339,1,66399.793,size-scaling-k75-c300,32,0,339,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,9.04,8,merkle,11.0,1,128.885,128.885,1,1,2,400,13248,6,75,1,fanout_f32_l16,off,128.885,0,7,128.885,100,100,100,size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r7,1,339,32,1,120,678,66399.793,300,6624,10000000,1,
2,2,full,6,66257.07159042358,1,0,75,60,1,4,4,150,678,678,13248,6,0.139,0,0,0,0,300,mixed,339,1,66400.569,size-scaling-k75-c300,32,0,339,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,9.04,8,merkle,11.0,1,132.261,132.261,1,1,2,400,13248,6,75,1,fanout_f32_l16,off,132.261,0,8,132.261,100,100,100,size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r8,1,339,32,1,120,678,66400.569,300,6624,10000000,1,
2,2,full,6,66319.91089010239,1,0,75,60,1,4,4,150,678,678,13248,6,0.136,0,0,0,0,300,mixed,339,1,66461.791,size-scaling-k75-c300,32,0,339,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,9.04,8,merkle,11.0,1,130.582,130.582,1,1,2,400,13248,6,75,1,fanout_f32_l16,off,130.582,0,9,130.582,100,100,100,size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r9,1,339,32,1,120,678,66461.791,300,6624,10000000,1,
