run_id,method,paper_style_total_ms,restore_repair_ms,audit_validation_ms,end_to_end_observed_ms,cleanup_ms,paper_end_before_audit_start,audit_validation_positive,end_to_end_covers_paper_and_audit,full_audit_skipped,audit_validation_skipped
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,210.237,210.237,68295.561,68516.719,0.135,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,252.771,252.771,66030.254,66294.250,0.139,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,186.750,186.750,66086.960,66274.343,0.135,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,135.925,135.925,65878.488,66014.825,0.137,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,134.569,134.569,65645.173,65780.161,0.136,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,131.112,131.112,66287.380,66418.914,0.136,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,132.473,132.473,66247.814,66380.702,0.139,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,128.885,128.885,66270.504,66399.793,0.135,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,132.261,132.261,66267.893,66400.569,0.139,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,130.582,130.582,66330.798,66461.791,0.136,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,118.732,118.732,327851.252,327970.404,0.137,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,133.561,133.561,327633.782,327767.752,0.136,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,172.218,172.218,326790.917,326963.600,0.136,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,192.122,192.122,328123.535,328316.308,0.147,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,131.474,131.474,327654.419,327786.315,0.151,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,241.382,241.382,327851.373,328093.529,0.135,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,160.645,160.645,327608.501,327769.557,0.132,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,144.161,144.161,328044.391,328188.968,0.134,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,161.974,161.974,327761.342,327923.771,0.135,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,141.142,141.142,327256.626,327398.174,0.137,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,257.453,257.453,271535.389,271793.576,0.137,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,138.791,138.791,265316.678,265455.902,0.151,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,140.079,140.079,265504.949,265645.435,0.136,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,143.071,143.071,263236.776,263380.284,0.136,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,141.018,141.018,264532.677,264674.105,0.135,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,200.213,200.213,262945.095,263145.962,0.134,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,140.393,140.393,262942.143,263083.022,0.136,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,199.897,199.897,263154.497,263355.071,0.136,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,214.448,214.448,262567.511,262782.680,0.139,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,148.142,148.142,262577.551,262726.114,0.136,1,1,1,0,0
size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,137.613,137.613,33768.918,33907.084,0.136,1,1,1,0,0
