run_id,manifest_sha256,experiment,profile_label,tuple_count,fanout,split_threshold,merge_threshold,bad_leaf_count,corrupted_tuple_count,repetition,phase,index_name,idx_scan_delta,idx_tup_read_delta,idx_tup_fetch_delta,idx_blks_read_delta,idx_blks_hit_delta,relation_bytes,index_bytes,estimated_relation_rows,track_counts_enabled
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,0,tree_localisation,merkle_node_16500_pkey,0,0,0,0,0,786350080,211722240,6719300.0,True
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,0,tree_localisation,merkle_node_16500_prefix_idx,6624,6624,6624,0,19872,786350080,214269952,6719300.0,True
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,0,tree_localisation,merkle_node_16500_root_idx,1,200,200,0,1,786350080,16384,6719300.0,True
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,0,tree_localisation,merkle_node_16516_pkey,0,0,0,0,0,786350080,211722240,6719300.0,True
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,0,tree_localisation,merkle_node_16516_prefix_idx,6624,6624,6624,0,19872,786350080,214269952,6719300.0,True
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,0,tree_localisation,merkle_node_16516_root_idx,1,200,200,0,1,786350080,16384,6719300.0,True
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,1,tree_localisation,merkle_node_16500_pkey,0,0,0,0,0,786350080,211722240,6719300.0,True
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,1,tree_localisation,merkle_node_16500_prefix_idx,6624,6624,6624,0,19872,786350080,214269952,6719300.0,True
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,1,tree_localisation,merkle_node_16500_root_idx,1,200,200,0,1,786350080,16384,6719300.0,True
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,1,tree_localisation,merkle_node_16516_pkey,0,0,0,0,0,786350080,211722240,6719300.0,True
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,1,tree_localisation,merkle_node_16516_prefix_idx,6624,6624,6624,0,19872,786350080,214269952,6719300.0,True
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,1,tree_localisation,merkle_node_16516_root_idx,1,200,200,0,1,786350080,16384,6719300.0,True
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,2,tree_localisation,merkle_node_16500_pkey,0,0,0,0,0,786350080,211722240,6719300.0,True
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,2,tree_localisation,merkle_node_16500_prefix_idx,6624,6624,6624,0,19872,786350080,214269952,6719300.0,True
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,2,tree_localisation,merkle_node_16500_root_idx,1,200,200,0,1,786350080,16384,6719300.0,True
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,size-scaling-k75-c300,fanout_f32_l16,10000000,32,32,8,75,300,2,tree_localisation,merkle_node_16516_pkey,0,0,0,0,0,786350080,211722240,6719300.0,True
