run_id,manifest_sha256,method,phase,ms
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,tree_localisation_ms,184.042
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,candidate_row_fetch_ms,16.162
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,row_comparison_ms,0.564
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,repair_sql_building_ms,0.545
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,repair_dml_wire_ms,17.877
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,repair_commit_wire_ms,9.003
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,repair_begin_wire_ms,0.115
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,repair_transaction_block_ms,27.595
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,repair_write_ms,27.599
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,targeted_post_repair_confirmation_ms,3.497
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,recovery_observability_ms,0.001
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,recovery_orchestration_ms,1.381
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,audit_exact_table_compare_ms,37875.400
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,audit_merkle_root_hash_ms,1.332
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,audit_merkle_verify_ms,30235.864
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,audit_schema_fidelity_ms,2.169
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,merkle_total_ms,71074.980
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,tree_localisation_ms,189.466
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,candidate_row_fetch_ms,16.514
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,row_comparison_ms,0.536
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,repair_sql_building_ms,0.551
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,04a28e7b724ebeee94545ba7395ff583180eaa663d02a03122f1bfec184190a3,merkle,repair_dml_wire_ms,18.020
