run_id,method,paper_style_total_ms,restore_repair_ms,audit_validation_ms,end_to_end_observed_ms,cleanup_ms,paper_end_before_audit_start,audit_validation_positive,end_to_end_covers_paper_and_audit,full_audit_skipped,audit_validation_skipped
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,233.246,233.246,69165.945,71074.980,0.162,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,239.244,239.244,66815.357,68730.766,0.145,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,235.054,235.054,66945.511,68856.855,0.147,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,233.262,233.262,66708.145,68616.942,0.144,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,232.607,232.607,66900.511,68809.149,0.139,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,235.866,235.866,67137.360,69049.124,0.145,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,233.107,233.107,67047.007,68955.636,0.144,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,222.550,222.550,67270.844,69219.798,0.144,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,243.696,243.696,66953.095,68872.864,0.143,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,243.524,243.524,66953.090,68872.814,0.141,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,234.746,234.746,326491.113,328453.102,0.147,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,234.295,234.295,326791.506,328753.128,0.146,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,259.211,259.211,326910.728,328846.372,0.146,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,234.938,234.938,326229.542,328191.890,0.142,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,234.670,234.670,326531.808,328494.794,0.143,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,236.844,236.844,326363.456,328328.025,0.145,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,235.333,235.333,328111.782,330074.821,0.155,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,233.963,233.963,326135.289,328097.157,0.140,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,233.527,233.527,326477.007,328435.377,0.144,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,236.738,236.738,326563.524,328527.291,0.145,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,254.638,254.638,262352.790,264284.530,0.147,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,253.852,253.852,261311.752,263242.770,0.144,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,242.625,242.625,261941.270,263860.276,0.168,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,232.092,232.092,264847.742,266807.466,0.146,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,232.093,232.093,262291.218,264251.679,0.145,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,232.059,232.059,261885.386,263845.357,0.146,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,243.541,243.541,261626.369,263547.040,0.143,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,233.323,233.323,265135.274,267096.563,0.146,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,244.511,244.511,266044.625,267966.376,0.145,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,237.499,237.499,262311.084,264276.689,0.144,1,1,1,0,0
size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,224.174,224.174,34587.903,36489.741,0.152,1,1,1,0,0
