run_id,method,paper_style_total_ms,restore_repair_ms,audit_validation_ms,end_to_end_observed_ms,cleanup_ms,paper_end_before_audit_start,audit_validation_positive,end_to_end_covers_paper_and_audit,full_audit_skipped,audit_validation_skipped
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,233.640,233.640,69681.531,71590.823,0.155,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,240.280,240.280,67258.340,69174.550,0.145,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,239.222,239.222,66863.990,68779.065,0.143,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,242.833,242.833,67129.329,69047.624,0.145,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,234.851,234.851,66733.043,68644.086,0.145,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,231.587,231.587,66714.707,68673.257,0.143,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,230.517,230.517,67662.238,69619.671,0.141,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,222.787,222.787,66722.185,68671.372,0.143,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,231.347,231.347,67080.265,69037.933,0.152,1,1,1,0,0
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,242.301,242.301,67719.050,69637.534,0.142,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,234.472,234.472,327362.712,329324.058,0.206,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,244.359,244.359,326354.675,328275.467,0.144,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,247.937,247.937,326888.083,328863.407,0.169,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,234.809,234.809,325553.120,327515.169,0.146,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,247.620,247.620,326714.573,328638.282,0.142,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,233.729,233.729,326424.785,328385.936,0.147,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,233.765,233.765,326653.054,328613.866,0.144,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,233.987,233.987,327409.477,329371.402,0.146,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,248.167,248.167,327070.290,328995.704,0.167,1,1,1,0,0
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,235.283,235.283,326707.905,328671.092,0.146,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,241.313,241.313,263805.618,265774.792,0.155,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,230.992,230.992,262816.040,264775.173,0.142,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,241.173,241.173,263303.109,265221.397,0.146,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,232.095,232.095,262326.864,264287.494,0.144,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,231.210,231.210,263803.945,265762.736,0.142,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,231.600,231.600,262584.246,264543.815,0.142,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,230.485,230.485,263082.880,265041.058,0.145,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,230.387,230.387,262349.789,264308.753,0.141,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,232.342,232.342,263108.749,265069.038,0.146,1,1,1,0,0
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,236.633,236.633,264786.269,266752.193,0.148,1,1,1,0,0
size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,225.405,225.405,34625.689,36529.413,0.149,1,1,1,0,0
size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,215.403,215.403,34765.194,36659.019,0.148,1,1,1,0,0
size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,218.976,218.976,34720.528,36618.207,0.152,1,1,1,0,0
size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,215.806,215.806,34671.542,36565.453,0.149,1,1,1,0,0
size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,218.540,218.540,34600.401,36497.658,0.200,1,1,1,0,0
size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,214.532,214.532,34540.840,36433.470,0.150,1,1,1,0,0
size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,218.097,218.097,34655.214,36551.150,0.149,1,1,1,0,0
size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,221.358,221.358,34640.281,36540.617,0.150,1,1,1,0,0
size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,210.208,210.208,35077.192,37016.835,0.147,1,1,1,0,0
size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,230.253,230.253,34553.277,36461.362,0.158,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,254.807,254.807,47567.231,49551.950,0.160,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,226.426,226.426,47664.633,49620.650,0.142,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,226.857,226.857,47581.123,49536.851,0.157,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,226.715,226.715,47497.213,49453.459,0.146,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,227.781,227.781,47504.224,49461.206,0.142,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,226.994,226.994,47575.109,49532.121,0.158,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,229.140,229.140,47544.678,49503.584,0.142,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,230.275,230.275,48290.484,50250.434,0.142,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,236.239,236.239,47554.738,49520.878,0.142,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,234.873,234.873,47621.560,49586.001,0.157,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,170.854,170.854,8350.711,10302.889,0.146,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,171.353,171.353,8386.912,10339.676,0.147,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,171.645,171.645,8361.940,10315.158,0.150,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,171.379,171.379,8431.510,10383.657,0.149,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,171.572,171.572,8356.758,10309.111,0.146,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,169.855,169.855,8364.443,10315.658,0.148,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,173.356,173.356,8366.654,10321.824,0.144,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,170.965,170.965,8365.483,10317.241,0.144,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,173.985,173.985,8362.785,10317.773,0.145,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,171.433,171.433,8366.029,10318.498,0.146,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,242.688,242.688,99855.832,101778.789,0.149,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,225.546,225.546,99383.351,101340.550,0.147,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,242.285,242.285,99872.566,101794.620,0.146,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,227.095,227.095,99940.332,101898.757,0.148,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,238.308,238.308,99844.180,101813.254,0.157,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,227.199,227.199,99972.084,101930.137,0.144,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,245.356,245.356,101054.509,102980.205,0.148,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,247.641,247.641,99776.914,101704.443,0.143,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,248.861,248.861,99858.503,101787.367,0.164,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,228.768,228.768,99704.109,101663.984,0.152,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,232.787,232.787,132568.298,134482.195,0.146,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,237.674,237.674,132325.420,134243.889,0.147,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,228.549,228.549,135902.535,137861.819,0.149,1,1,1,0,0
