benchmark,mode,workload,warehouses,server_workers,bcdb_workers,pool_size,total_queries,wall_time_ms,tps,merkle_pass,divergence_count,permanent_failures,trial,run_id
tpcc,bcdb_det,tpcc-workload-20000-w30-seed42.txt,30,32,32,32,20000,18322,1091.58,1,0,0,1,tpcc_cc40b99061c04acdb9d2807cf66b0e8c
tpcc,pg,tpcc-workload-20000-w30-seed42.txt,30,32,1,32,20000,4777,4186.73,1,0,0,1,tpcc_b7682688ea9449f7941130244360fb68
tpcc,bcdb_merkle,tpcc-workload-20000-w30-seed42.txt,30,32,32,32,20000,41691,479.72,1,0,0,1,tpcc_87e7d25330da48659c3394f471e7419c
tpcc,pg,tpcc-workload-20000-w50-seed42.txt,50,32,1,32,20000,4933,4054.33,1,0,0,1,tpcc_c96860f7592d4415872bd377701c9bb4
tpcc,bcdb_merkle,tpcc-workload-20000-w50-seed42.txt,50,32,32,32,20000,39092,511.61,1,0,0,1,tpcc_86562148c60842069276e108a09826d2
tpcc,bcdb_det,tpcc-workload-20000-w50-seed42.txt,50,32,32,32,20000,15132,1321.70,1,0,0,1,tpcc_0192bb7195154b1a83f99347a5198fda
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,24352,821.29,1,0,0,1,tpcc_235e51cf5eac406dbce4643f9e0b54ef
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,32,1,32,20000,4619,4329.94,1,0,0,1,tpcc_d979d04f1f9441319bd584f23448ea37
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,86689,230.71,1,0,0,1,tpcc_33a7eb0b80a34382ac3ba49c483ea8b2
tpcc,pg,tpcc-workload-20000-w10-seed42.txt,10,32,1,32,20000,6922,2889.34,1,0,0,1,tpcc_161ff4a030b04ac9829d48a7f9bd4bd6
tpcc,bcdb_merkle,tpcc-workload-20000-w10-seed42.txt,10,32,32,32,20000,57572,347.39,1,0,0,1,tpcc_48c1902102014ff2814d496285f963f3
tpcc,bcdb_det,tpcc-workload-20000-w10-seed42.txt,10,32,32,32,20000,28514,701.41,1,0,0,1,tpcc_91759668c3074e5aa5be53bea28c34f3
