mode,warehouses,server_workers,trials_count,median_tps,mean_tps,std_tps,min_tps,max_tps,median_wall_time_ms,mean_wall_time_ms,merkle_pass,divergence_count,permanent_failures
bcdb_det,100,8,3,1320.7422571485174,1319.4818661495676,12.223384171255361,1306.6771200836274,1331.026221216558,15143,15158.333333333334,1,0,0
bcdb_det,100,16,3,1738.072477622317,1739.4032440023932,7.3575088442519485,1732.8019407381737,1747.3353136466887,11507,11498.333333333334,1,0,0
bcdb_det,100,24,3,1810.1185627658613,1816.0600716331571,14.740956523510514,1805.2170773535518,1832.8445747800586,11049,11013.333333333334,1,0,0
bcdb_det,100,32,3,1750.7002801120448,1749.3521439170972,8.868356467994817,1739.8869073510223,1757.469244288225,11424,11433,1,0,0
bcdb_merkle,100,8,3,324.15436230733076,357.93304243236474,157.01330286746335,220.5582328874381,529.0865321023254,61699,63393,1,0,0
bcdb_merkle,100,16,3,567.5046819136257,567.3766022654443,0.7803465256583452,566.5401393688743,568.0849855138329,35242,35250,1,0,0
bcdb_merkle,100,24,3,544.5288464156389,459.86413733860894,164.89398803079203,269.836344257208,565.2272213429799,36729,48744,1,0,0
bcdb_merkle,100,32,3,553.0973451327434,477.073262766884,133.3693801825741,323.075680478152,555.0467626897566,36160,44699.333333333336,1,0,0
pg,100,8,3,1642.9803663846217,1645.9315308613263,7.313701756257938,1640.5545074235092,1654.259718775848,12173,12151.333333333334,1,0,0
pg,100,16,3,2743.4842249657063,2742.2328318980562,3.195918184649064,2738.6005751061207,2744.6136956223413,7290,7293.333333333333,1,0,0
pg,100,24,3,3469.8126301179736,2977.9785657023303,935.0175723374099,1899.696048632219,3564.427018356799,5764,7301,1,0,0
pg,100,32,3,4326.195111399524,4358.015217734165,146.42333500997734,4230.118443316413,4517.73209848656,4623,4592.666666666667,1,0,0
