benchmark,mode,workload,warehouses,server_workers,bcdb_workers,pool_size,total_queries,wall_time_ms,tps,merkle_pass,divergence_count,permanent_failures,trial,run_id
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,11365,1759.79,1,0,0,1,tpcc_f986a6af2aa04393ae23f8a4a757c69c
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,32,1,32,20000,4700,4255.32,1,0,0,1,tpcc_347b48a5750a42fabfe0d30d8320d7d7
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,36768,543.95,1,0,0,1,tpcc_cc0c2b6d5cfa4c298651a4faaabe9f2b
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,16,1,16,20000,7264,2753.30,1,0,0,1,tpcc_7dd3ba41b00c4e00bb15d1e94655030f
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,16,16,16,20000,35827,558.24,1,0,0,1,tpcc_73443f32ab054537b71a19c0aea32d51
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,16,16,16,20000,17725,1128.35,1,0,0,1,tpcc_5d02a6daaa924dd582893504a58a437f
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,24,24,24,20000,36194,552.58,1,0,0,1,tpcc_de3942cdc0664c83b82653b0748b29fe
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,24,24,24,20000,11022,1814.55,1,0,0,1,tpcc_e16a6d09c9f04912b215f9976c96ee34
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,24,1,24,20000,5649,3540.45,1,0,0,1,tpcc_f29ca1799a5d46b0a4497038fb5e78ed
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,8,8,8,20000,15083,1326.00,1,0,0,1,tpcc_29506e4418714955bcb3a4114efdde95
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,8,1,8,20000,12198,1639.61,1,0,0,1,tpcc_a75320684dea4b499c2b337470c9dddf
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,8,8,8,20000,38042,525.73,1,0,0,1,tpcc_8487fe66ac65434fae58652ee9216133
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,32,1,32,20000,4663,4289.08,1,0,0,2,tpcc_0f499c67a50b4ed9a3d04c6cb90cc1aa
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,36508,547.83,1,0,0,2,tpcc_2f176ec768034953835d27a49593fc3a
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,11326,1765.85,1,0,0,2,tpcc_276874c17b1148b28cf54ed80b2f0046
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,24,24,24,20000,10910,1833.18,1,0,0,2,tpcc_d0b94d3432b947d196fe4c704e55f0ac
tpcc,pg,tpcc-workload-20000-w100-seed42.txt,100,24,1,24,20000,20843,959.55,1,0,0,2,tpcc_c1fb710e55e74491a50d82e624a56151
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,24,24,24,20000,36011,555.39,1,0,0,2,tpcc_870c0a5dd0ef4d5db69530b9c0c08243
