mode,warehouses,server_workers,trials_count,median_tps,mean_tps,std_tps,min_tps,max_tps,median_wall_time_ms,mean_wall_time_ms,merkle_pass,divergence_count,permanent_failures
bcdb_det,100,8,3,1320.829480914014,1315.9077516275074,13.253364944373203,1300.8976193573567,1325.9961546111517,15142,15199.666666666666,1,0,0
bcdb_det,100,16,3,1713.796058269066,1528.2032301929066,346.5797767433556,1128.3497884344147,1742.4638438752395,11670,13624.333333333334,1,0,0
bcdb_det,100,24,3,1829.9935950224174,1825.908958688233,9.963053793665663,1814.5527127563055,1833.1805682859763,10929,10953.666666666666,1,0,0
bcdb_det,100,32,3,1760.5633802816901,1762.0668986073968,3.297773501377016,1759.7888253409592,1765.848490199541,11360,11350.333333333334,1,0,0
bcdb_merkle,100,8,3,525.1135558064432,409.79487633304063,200.27599172946634,178.536358929496,525.7347142631828,38087,62717,1,0,0
bcdb_merkle,100,16,3,453.92646391284615,442.2133207060778,122.30284716302656,314.47529796534485,558.2382002400424,44060,47828.333333333336,1,0,0
bcdb_merkle,100,24,3,552.5777753218765,455.1036313475821,171.2677927357318,257.34726439857945,555.3858543222904,36194,49973.666666666664,1,0,0
bcdb_merkle,100,32,3,543.9512619669277,457.80102395426866,152.58375557145143,281.6266756787203,547.8251342171579,36768,48097.333333333336,1,0,0
pg,100,8,3,1639.0755613833799,1286.8186740309982,610.5923652921405,581.767409389726,1639.6130513198884,12202,19592.666666666668,1,0,0
pg,100,16,3,2746.875429199286,2743.145678626131,12.449485531157364,2729.2576419213974,2753.3039647577093,7281,7291,1,0,0
pg,100,24,3,3540.449637103912,2707.730936496439,1514.5300811595741,959.554766588303,3623.1884057971015,5649,10670.666666666666,1,0,0
pg,100,32,3,4255.31914893617,4241.377249033878,55.99521481519327,4179.728317659352,4289.084280506112,4700,4716,1,0,0
