mode,workload,threads,runs,pass_rate_merkle_verify,mean_wall_time_s,mean_workload_overall_ms,mean_workload_wait_ms,mean_duplicate_key_errors
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,1,3,1.000,29.422253,27522.994,16759.900,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,4,3,1.000,8.904783,7004.443,16414.175,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,8,3,1.000,6.221923,4349.446,3905.341,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,12,3,1.000,6.345475,4435.801,169.317,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,16,3,1.000,6.452774,4586.548,7.169,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,20,3,1.000,6.683546,4807.103,0.847,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,24,3,1.000,6.905115,5021.104,0.000,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,28,3,1.000,7.065892,5198.393,0.001,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,32,3,1.000,6.976950,5106.954,0.000,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,36,3,1.000,7.301883,5390.713,0.000,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,40,3,1.000,7.122074,5218.851,0.000,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,44,3,1.000,7.479000,5568.832,0.000,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,48,3,1.000,7.524892,5616.904,0.052,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,52,3,1.000,7.736277,5829.564,0.000,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,56,3,1.000,7.851224,5929.025,0.000,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,60,3,1.000,7.856467,5953.661,0.000,0.000
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,64,3,1.000,7.827479,5918.926,0.167,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,1,3,1.000,28.496313,26661.445,14731.786,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,4,3,1.000,8.946223,7099.222,12765.528,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,8,3,1.000,7.915036,6033.863,399.921,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,12,3,1.000,7.718610,5852.854,12.869,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,16,3,1.000,8.630010,6765.635,0.204,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,20,3,1.000,8.932693,7057.022,0.000,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,24,3,1.000,9.370959,7500.637,0.000,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,28,3,1.000,9.599260,7723.406,0.000,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,32,3,1.000,9.457478,7589.936,0.000,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,36,3,1.000,9.672284,7802.053,0.000,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,40,3,1.000,9.468916,7599.690,0.000,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,44,3,1.000,9.804214,7939.195,0.000,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,48,3,1.000,9.673945,7804.951,0.000,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,52,3,1.000,10.432111,8511.796,0.000,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,56,3,1.000,9.946604,8068.389,0.000,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,60,3,1.000,10.530092,8612.261,0.000,0.000
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,64,3,1.000,10.019993,8147.094,0.000,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,1,3,1.000,58.328375,56465.198,16293.454,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,4,3,1.000,15.621305,13729.976,16898.867,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,8,3,1.000,8.857564,6952.212,15975.012,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,12,3,1.000,7.466706,,,
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,16,3,1.000,6.793285,,,
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,20,3,1.000,6.490994,4578.860,648.950,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,24,3,1.000,6.504271,4607.993,124.713,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,28,3,1.000,6.594366,,,
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,32,3,1.000,6.617786,4723.605,8.616,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,36,3,1.000,6.628873,4743.578,4.399,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,40,3,1.000,6.663528,4744.917,0.832,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,44,3,1.000,6.720892,4821.120,1.375,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,48,3,1.000,6.872138,4800.930,1.141,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,52,3,1.000,7.459223,5301.793,0.887,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,56,3,1.000,7.422682,5401.315,1.282,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,60,3,1.000,7.540697,5503.735,0.909,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,64,3,1.000,7.382977,5284.876,0.492,0.000
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,1,3,1.000,37.275085,35121.893,13828.869,0.000
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,4,3,1.000,8.479857,6626.379,16078.311,0.333
