mode,workload,threads,runs,pass_rate_merkle_verify,mean_wall_time_s,mean_workload_overall_ms,mean_workload_wait_ms,mean_duplicate_key_errors,mean_retries_total,mean_serialization_retries,mean_reconnects,mean_permanent_failures,max_retries_total,max_serialization_retries,max_reconnects,max_permanent_failures
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,1,3,1.000,28.710926,26983.883,19343.570,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,4,3,1.000,8.542569,6915.805,18512.906,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,8,3,1.000,5.621052,3928.555,7716.047,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,12,3,1.000,5.566325,3833.708,644.215,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,16,3,1.000,5.576169,3847.627,144.426,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,20,3,1.000,5.632437,3937.820,29.136,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,24,3,1.000,8.713922,6835.445,1.785,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,28,3,1.000,12.878663,10827.304,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,32,3,1.000,6.112076,4226.473,0.205,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,36,3,1.000,6.349413,4656.305,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,40,3,1.000,6.122640,4421.251,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,44,3,1.000,6.496643,4759.695,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,48,3,1.000,6.327812,4592.851,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,52,3,1.000,6.686843,4957.006,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,56,3,1.000,6.631485,4897.995,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,60,3,1.000,6.768073,5035.938,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0
