performance_rank,cluster,machine,ip_address,drive,ssd_model,interface,controller,approx_seq_read,approx_seq_write,dram_cache,reachable,ssh_status
1,sl2,sl2-112,10.130.154.112,nvme0n1,ESSENCORE NVME GEN3 SSD,NVMe Gen3,Phison E12,3500 MB/s,3000 MB/s,YES,YES,OK
2,cs101,cs101-122,10.130.152.122,nvme0n1,ADATA SX6000PNP,NVMe,SMI SM2263,2100 MB/s,1500 MB/s,YES,NO,Authentication failed
2,cs101,cs101-123,10.130.152.123,nvme0n1,ADATA SX6000PNP,NVMe,SMI SM2263,2100 MB/s,1500 MB/s,YES,NO,Authentication failed
2,cs101,cs101-125,10.130.152.125,nvme0n1,ADATA SX6000PNP,NVMe,SMI SM2263,2100 MB/s,1500 MB/s,YES,NO,Authentication failed
2,cs101,cs101-127,10.130.152.127,nvme0n1,ADATA SX6000PNP,NVMe,SMI SM2263,2100 MB/s,1500 MB/s,YES,NO,Authentication failed
2,cs101,cs101-129,10.130.152.129,nvme0n1,ADATA SX6000PNP,NVMe,SMI SM2263,2100 MB/s,1500 MB/s,YES,NO,Authentication failed
2,cs101,cs101-131,10.130.152.131,nvme0n1,ADATA SX6000PNP,NVMe,SMI SM2263,2100 MB/s,1500 MB/s,YES,NO,Authentication failed
2,cs101,cs101-133,10.130.152.133,nvme0n1,ADATA SX6000PNP,NVMe,SMI SM2263,2100 MB/s,1500 MB/s,YES,NO,Authentication failed
2,cs101,cs101-136,10.130.152.136,nvme0n1,ADATA SX6000PNP,NVMe,SMI SM2263,2100 MB/s,1500 MB/s,YES,NO,Authentication failed
2,cs101,cs101-140,10.130.152.140,nvme0n1,ADATA SX6000PNP,NVMe,SMI SM2263,2100 MB/s,1500 MB/s,YES,NO,Authentication failed
2,cs101,cs101-142,10.130.152.142,nvme0n1,ADATA SX6000PNP,NVMe,SMI SM2263,2100 MB/s,1500 MB/s,YES,NO,Authentication failed
2,cs101,cs101-144,10.130.152.144,nvme0n1,ADATA SX6000PNP,NVMe,SMI SM2263,2100 MB/s,1500 MB/s,YES,NO,Authentication failed
2,cs101,cs101-146,10.130.152.146,nvme0n1,ADATA SX6000PNP,NVMe,SMI SM2263,2100 MB/s,1500 MB/s,YES,NO,Authentication failed
2,cs101,cs101-148,10.130.152.148,nvme0n1,ADATA SX6000PNP,NVMe,SMI SM2263,2100 MB/s,1500 MB/s,YES,NO,Authentication failed
3,sl1,sl1-16,10.130.153.16,sda,HP SSD S700 120GB,SATA,SMI SM2258,560 MB/s,510 MB/s,YES,YES,OK
3,sl1,sl1-60,10.130.153.60,sda,HP SSD S700 120GB,SATA,SMI SM2258,560 MB/s,510 MB/s,YES,YES,OK
3,sl2,sl2-101,10.130.154.101,sda,HP SSD S700 120GB,SATA,SMI SM2258,560 MB/s,510 MB/s,YES,YES,OK
4,sl1,sl1-4,10.130.153.4,sda,Kingston SV300S3,SATA,SandForce SF-2281,450 MB/s,400 MB/s,YES,YES,OK
4,sl1,sl1-30,10.130.153.30,sda,Kingston SV300S37A120G,SATA,SandForce SF-2281,450 MB/s,400 MB/s,YES,YES,OK
4,sl1,sl1-58,10.130.153.58,sda,Kingston SV300S3,SATA,SandForce SF-2281,450 MB/s,400 MB/s,YES,YES,OK
4,sl2,sl2-32,10.130.154.32,sda,Kingston SV300S3,SATA,SandForce SF-2281,450 MB/s,400 MB/s,YES,YES,OK
4,sl2,sl2-88,10.130.154.88,sda,Kingston SV300S3,SATA,SandForce SF-2281,450 MB/s,400 MB/s,YES,YES,OK
4,sl2,sl2-116,10.130.154.116,sda,Kingston SV300S3,SATA,SandForce SF-2281,450 MB/s,400 MB/s,YES,YES,OK
5,sl1,sl1-2,10.130.153.2,sda,Kingston SV200S364G,SATA,SandForce SF-2281,300 MB/s,250 MB/s,YES,YES,OK
5,sl1,sl1-23,10.130.153.23,sda,Kingston SV200S3,SATA,SandForce SF-2281,300 MB/s,250 MB/s,YES,YES,OK
5,sl1,sl1-27,10.130.153.27,sda,Kingston SV200S364G,SATA,SandForce SF-2281,300 MB/s,250 MB/s,YES,YES,OK
5,sl1,sl1-32,10.130.153.32,sda,Kingston SV200S364G,SATA,SandForce SF-2281,300 MB/s,250 MB/s,YES,YES,OK
5,sl1,sl1-41,10.130.153.41,sda,Kingston SV200S3,SATA,SandForce SF-2281,300 MB/s,250 MB/s,YES,YES,OK
5,sl1,sl1-53,10.130.153.53,sda,Kingston SV200S364G,SATA,SandForce SF-2281,300 MB/s,250 MB/s,YES,YES,OK
5,sl2,sl2-6,10.130.154.6,sda,Kingston SV200S364G,SATA,SandForce SF-2281,300 MB/s,250 MB/s,YES,YES,OK
5,sl2,sl2-48,10.130.154.48,sda,Kingston SV200S364G,SATA,SandForce SF-2281,300 MB/s,250 MB/s,YES,YES,OK
5,sl2,sl2-57,10.130.154.57,sda,Kingston SV200S364G,SATA,SandForce SF-2281,300 MB/s,250 MB/s,YES,YES,OK
5,sl2,sl2-109,10.130.154.109,sda,Kingston SV200S3,SATA,SandForce SF-2281,300 MB/s,250 MB/s,YES,YES,OK
5,sl2,sl2-118,10.130.154.118,sda,Kingston SV200S3,SATA,SandForce SF-2281,300 MB/s,250 MB/s,YES,NO,Timed out
5,sl3,sl3-2,10.130.155.2,sda,Kingston SV200S364G,SATA,SandForce SF-2281,300 MB/s,250 MB/s,YES,NO,Authentication failed
