INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (4572001, 'bVrpoiVgRV5IfLBcbfno', 'GMbJmTPSIAoCLrZ3aWZk', 'SBvrjn9Wvgfygw2wMqZc', 'UDIh7yfJs1ON43xKmTec', 'QoXsf2o3gyrDO1xkxwnQ', 'rS7RPeMOkIUpkDyr7OSJ', 'oRu1XXdo0cZuzren68K4', 'TunPFz46PDjqipVJIqVL', 'B5LzxoiGFfWd3hjOkYRB', 'MeyyMDHqJ38aRUhR4IWr');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (13932001, 'hsBkDa9U4UqGWlG6g3Ot', '1OGMmjxWkI9X7H6aMuFb', 'h7x41Ztpdp4K8ffUF0eW', 'IXiiQE8JkqH3MB9n7IWU', 'SmTtzQPxC5HChpoevbLJ', 'oLoaeTOdoe5c3veGprQF', 'nIiU74KKEpYEZAmggQBw', 'BAD3UdRPPgdzUvZ3gpmm', 'ICiBlrDp37eCZ32JgdPI', '1af7W2pkAFEn3z5dkyay');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (10852001, '7YYDsBS9UYJQTFjmsn9d', 'LVIdVuddLEG62Hkd9Gf2', 'leMeR3pzh84KpLMcNfAQ', 'LKHu7qnQTupqziQPtDu7', 'W7eaDNKgeInGqi7w4e4p', 'xskC1ITtNZPHaQ0Jt7Qg', '84iqh4gVJjrsMnTvnRO2', 'qGFq562dfOB1rcavXiOq', 'kVCJTBJahe84S5jIc1xL', 'JjBictx57Y3c5wnRpQgw');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (22932001, '43ANVj77p3kZZl4AblV7', 'vY7AZQ3VZprkYSgy3c2E', 'om06Dwt0Y3oobQmzvr3e', '9XrwPGzR1Iv8bh4qlL9q', 'cgMBwUYuBMGhy5KmqcTB', 'aH7ZIRU8VVQmxBe8Q6vN', 'uQ2hU5tGtQAuzSsJimAQ', '8yRV5lNKtzJ1atsnBYLM', 'PuDCCRnGEY59YVkQfsGQ', 'ONvf08WpRtoZmjbcpEN2');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (2972001, 'DA4OKmTSyFzpjPSa5W3X', '4gXBolZ9SHDdJp62hDiZ', 'DQHJMu8W5CN0U5GB16JC', '5kV3ECqWp1OrXXHFOprC', 'eTsprvu5IfijoySjTneA', 'AvIDAdn1Ay5XL8Sb24WK', 'yEa8wtWy2591AIVVIZM5', 'oForBFbyvQRZzUk1D6iN', 'Ib6zLKQbfPBi3Dldqyun', 'DuvW4yrW81Aq1fEbVId8');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (14332001, 'oPeX9PcWb8pm1bNjpiEQ', 'hK8nDSqXxkMM9VThX0k9', 'tgLb7tKR69yz8TmeLS1O', 'pgSXt2RMZhYKYcwIBQxe', 'GPva2A0FgB9xO51DTjBl', 'UH9PrNZ6IXEDB0ULru2p', '17fr4CpWDKNQyvbF2ulF', 'nwZqvr4MS4rJaH8mfpUA', 'FJWpSEPTFCYbfsozSptQ', 'LxEJHwBVJvwSDrtqohUm');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12932001, 'hVI8WSlmnVErULWHMsg1', 'msoxltaTIircdJsS8iO3', 'WFg3aKsEECvl9dq83Eh0', 'ezFeKORdjjZK8tfphJWA', 'MMYNoXHyC6Ct3LBtKNdN', '9Vg8WnOnqQfkplJekaAC', 'SMEscosTsS3DeRo7qYYO', 'LQZ7mBhIoPj6r0jedkYt', 'MV0K6sChDStSz8rGIFCf', 'Mc4BVuMqbfo9R13KL8bW');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (11012001, 'KcWWlEHPC6rlLBO0FfEw', 'AvuQg2kvASFsQ8z0WJcD', 'fuquhXz3G0aQ3IDAdmHx', 'NWFOCWdnrJi7sC4SFhbO', 'MZpTktJaJAfo16hD8hP1', 'jF7TsGTrA1EEpDJjym6M', 'GV4i3erXY2Av7YGr0asU', 't1LLQF3jCIEwvJWIyD7u', '3mSpKyo2XAcuVET6ZyyQ', 'Y0PjF9ciG9Lv3g32CgH6');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (18692001, 'aUjA3PjeEYqvNSzPf2v2', 'R2Iy9uOT4WF3IcNepOR6', 'soVfBgWOT3gCkSt5bcuY', 'dswxBjpHAKRYlklfN3yN', 'RpF6LjoDOqDqQa5ZD5sR', 'IkeC8wLtO9BSqD2tmy2E', 'gpyKwKsSsb1QzraK3RXV', 'd6MVF155sXZoMZwoOmNq', 'RWUXQR1iOg5OPctYCcLx', 'Uif6suVAlmiYI4xHG6r1');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (6732001, 'q608E9ZsV3vZhD9ejW9o', '3RURz92ZJxfYzaqIhDxR', 'VRqLy0O8xgRoEbN48Ju6', 'NoPeO0D6StPAhic8ctFh', 'gp4IiyDxQ8VS8IALVUj4', 'APg1FNA88rcSxnCC8p2x', 'gRxI5Pwdzrm9h820DfQn', 'POMbdYvpiYKne1WJnLn0', '3ovXjY5Mar2jiIqZlhQ3', 'biawYYpLublqdiVAHhVe');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (19492001, 'CXxGLgCGo8NcUY63QHtD', 'P9bdE2zBRgFT6Ce5fuMj', 'eirNOLJTuyMHsDGMBgYS', 'h2PP4XJU3nBC4oAv0DzA', 'UguBuQqx9jR7Eef1ffBg', 'VVxZiJdL9JJvQhAw3Q8W', 'B36Ud9sMtwgKGnjQEo2g', 'w2JxhWrKoZB2JX0NNRPJ', 'bM7Q1SrblrSWt6vwal3j', 'KQzejVObfVHnyADvkxtU');
