INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (22772001, 'le0p5Dt5QwkGlka9qOk3', 'hbEEHbX3v8LPkSnTfuIC', 'KbNz78t5vxD58at3sMBp', 'SNrmlMUbKKLmajpigPxC', '5Ft2mx8K35kvjzITyvzE', 'axI05HegbVPDhUQ8oOHv', 'vRP6i9AgQrqhzw9Y7F8X', 'Ku1dz8eD76OqzySpKTkk', 'J0UcOzvYAFwicblRteXs', 'XMptWclYURNtgPFT94G6');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (4572001, '7zwtHqkH39RBHqFjvAD5', 'GbpT8WxbAiBTUwNjASy0', 'wkLBJHJuM56h3Y4GS3W3', 'WxVoRrW7dqkHPbBro6PU', 'maWyuB6buY91u3YbiWGU', 'wq3RTMKkhUHkpYgTSxIK', 'C1ycl8wHdKtKD6SZqzhv', 'kvrINGv46pmpEsCaLv9w', 'LglHpfFYN88M6mdjmdMl', 'q2GWn3WxJFTGQSPUbOFK');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12052001, 'suiWC7jcKnJdfPEMvNym', 'bA54XuxmmnUZFpaTaN0A', 'dztr9sFsfHhnlzQ4uTgm', 'qnZnUsEqrHgehB4FNAaz', 'Xe8czf5ZvmwWA4GIyhpD', 'fJsKL3ZSGADkPS2YPw8W', '31Cwhaa1fGveIMHOJNiP', 'wIc75vQD36HkRqE3Vyf8', 'uqXVwSH6wIXthMsKeCeJ', 'zS81kLNFVyT2cwbYUIoB');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (18332001, 'PIlzqZRjrMyFxmITrvhG', 'E1Fk01KbD8oFU24JesfV', 'QpweXoigj7gwRTjj0Jrq', 'EqG25q7fn6srgGjv2VpI', 'HBJbs5eda1qz3hoysp74', '6DeOWcBaB90ZaqHw4M98', 'YWGYr9xaMhcsT9Qzn4Df', 'Es0rqa0XYYMNlvGPPUOs', 'ACja66KbHl15tcClnBhi', '40nXQ1pAzp32nhqu5lnk');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (1212001, 'HtvsxpobS793lalaeIEe', 'bksZ55xGC6CpHRqTIMQv', 'fkolLYATDJfXHdv0ZPmR', 'unt8KsyvdEIiTGZb2fGz', 'lMJvm4Gii8AiU4OxzKxa', 'M2ZdxnoGJpdUy3qFKomW', 'QvBepSpO9XJPP2RsSKUb', 'FbVav1T1hlODR75P9bKD', 'tRHGAXhxpYmViQSvWIsI', 'xiYnpRGptfeRj6rddIis');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (5212001, '8HxJICfMxn5O5RDQWv1Y', 'yJuW5opYYkrvHewggZmM', 'X2gxNO9ksosXqnFprTDo', 'U658MNg0o21h7yTEd17g', 'q4DCYY4pxoVl7lHZmncp', 'LB2dOB0NDP3UCh2jcyKw', '53FlEGgMLHGAKKsM2tKO', 'ZHAYQrxZgrHbe5OTHG8M', 'bZZONPqtzQ9ZLLQgBj9C', '1WrBllwoFCF1SNu4rKNF');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (4012001, '7Bu4nPSfJr66ZJWWXxZ2', 'slgDast7m1A0sotkTuje', 'rglZGyFrxddvi83xVoX7', 'x1CEu9ylJYuRpXBijYip', 'YQWIEsHEd9hIclb2QHon', '5q2CioJC0shVhD3aZQm1', 'NzxV7OeNDeSzd66VDX3t', 'F6NJlshDhASNBowQVrYz', 'cnXqx6kLF4DQChBlYrcq', 'sMAxqztkuvjVL4TmEiQI');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (14772001, 'aBEemb853q4eqpmPibSt', 'pvmqksJieUebsB2mo2LO', 'ad57KtX8qfDbmsW29byQ', '0MxoxYJ8dynoN54W5TYZ', '9GkRMRIRgYJLxl3vaWiO', 'bSWIYK2uso5oeri0CoZy', '4EVZdeSBLvSL6TyIvFBY', 'e5jOmHyBbQ9Mc7xNPjv8', 'mS6RgCUpPvMRLrCcRH6i', '3IpkQ7fmb5LVoWP6xZAP');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (11932001, 'TLzKlJZyYD9z60ZqI6L2', 'ZWR2Uo0PI5govAs48S2k', 'd9o14UELYHDZU7sOExNt', 'OGZeZciN6j7KCRHvJsch', 'HjGbjCm0TCLtq9vQLFy7', 'K8b8h8HEp9kv5iGNLz9i', 'tYSLXV9h75NcNRHSV9Uf', 'I0hh41Y1riwqvb5s0SBP', '5cJoHEpPkw2KX9lvZssy', 'RMQi0ct4c424wtDQrK8Y');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (9012001, 'UvgdCHHO8muX4D0CPAUm', 'PdY4i10RJfXejMm6Aa2z', 'gkWlK2cThOXruiyn23zm', 'LjOaL1ls7YC4MEXbJg8m', 'BrS5imIU5QRqUVvri3xD', 'EKb4FDFvep16bShndt5c', 'aqAzeeVpMcLT13lb9ZEJ', '27bfyrLjxjSvt883M1MJ', '7NXZRL80ra7YQafqUoxi', 'udUKXfCZ2Zz393BBOjCG');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (372001, 'nLbt3CtLxwThURTPf2zW', 'KSit9H3OPucG0ce7RHwx', 'w2ChWRKSUWxhJNHkNi6Z', '66Ty47n2cI6TgmaXp57W', 'JaYVgOBJWtv53TdTgS4N', 'ievkzy4VWJvyJDcYyqzV', 'sZQQZ3L04GhdbfTo0DQm', 's5RUDnWpPitxo5uugCGZ', 'GUAyw5wZCpbeRT8TZTj0', 'cmv8GOh0vL3gmisMHtwv');
