INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (3252001, 'QLNtSD5AWQkxoHDbyM9p', 'UDDqwmoUMR7SkVCHwANz', 'qbeeRotzPY6fL961Zae8', 'pqQJE8a50qPZB1H5ksJB', 'jHQN8gnNqpKS4LkBzoMS', 'kVeuVRNfLgIugXEgF8GG', 'kqeaHSSaQv75xrzEv0Gn', 'Qt3ffYKiX6VABWeiuzMJ', 'X3nAuzxjdBIwXCcIYYrt', '810bK1CF286rQXu13cQt');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (20252001, '0ZSt55CDMAVDC4iz1oIL', 'DjIssX10sSpnOkFpuwfK', 'CnAtJdPSraepdYJp71Vu', '7NjOnyTUANAR1Af08DmL', 'DPiJJTftdozQg8MemgRx', 'dBiQG7ugTuDnYuheoZmu', 'ZJey6oceSlOm887Bllem', 'LUs485E3laG3NKTzm9zJ', 'hgWtLs3TJTYPxzdGeueQ', 'bJU5UMPYomYlPxuvEiMX');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (9572001, 'cAnKfMQKFMNO4mt8fuiu', 'MpFO7rIF651twppjQUAR', 'k9cC1J1UIhCatNmz57FD', 'vSdcyc7WeNu4xxzJKEJX', '9MD2ujvPXxQY3AckbaGG', 'ki9W940uSVLRGJDfEttf', 'eJXP9OZSQtvtUEgTPYDz', 'P4AeR4nNpUFpjTSdmAuh', '5b3o8lXwu1uHXmJu7U7v', 'CMjk4zZsHDOvQ0G7sczl');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (17932001, '3l6P7hFUv934aF32cERW', 'e8uOfVGaCv3aAeYY7i8O', 'vc70oKBt5yKXnqASuw65', 'SGcPKXltBKk8E2Gz4UOk', 'OmKp4b2RuCFgvrbTqpsj', '4RHhlwyQ2hCUzJP59W0u', 'o2lRDoGJSNURXaoPuxWP', 'G745SFyzsHDn1qe8mnrr', 'Oxy3UTeLtSa4Gzn3RbwD', 'm1Lm1IFB0zxgyYp6859J');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (292001, 'j7Ub3bIHcXNpdZKBJdUp', 'b1NfAiHyX0tHnmhX1Uxt', '8LfXpVyuFDIAwfmP9pdR', 'NMYwevqYdHq4H7OOWWeP', 'YIPzVPIV3iKWj4x7PZ9R', 'JSb6J7SFvtAhMNM9MRNK', 'I4XsmPaHyea5mIDpwvVa', 'ZRt93im47CNcPHJ634xv', 'sLP0ggq5lrRNkpfbUVe9', 'iG2ea4fH2kKhyfKpPHwM');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (10612001, '33xYfamP3fCzJAnuZh2B', 'ba6hZBuBrltpNh7GODPM', 'O8b1ZefdQmAaAT0DhIVA', 'OOHY7yrNGFATQNxXGk5h', 'oURNUazYsfjYPhTRgx8w', 'NHVq7rpPq0kMLr3PAao4', 'sIotYWPsIo6MwsJA5Zok', 'x7njOsn5J4pJDaG4MZmq', 'ffbn9dAT1t1wnbSboXGk', 'WwDKuGQ3K0MxkyLrofOF');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (812001, 'EJOkc6xodkGQtWOdyZ4A', 'ICb9dvuoF03j6LxZrs0L', 'AN2Ww7OfCAjfZ5h3NxeY', 'pHfPu0ntHGhySgd8kEW7', 'XAp6lQsFAMORlPCaBpzS', 'Zpoq6aHAUmzgQCBfYujc', '9bl0LzwdrSBswIKBOliE', 'fEEZHCJWu1VnuEXDOmBh', 'T66yhry6bsToKnM9bmJA', 'GzCa2GqTk0h6SbZVAn8N');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (2452001, 'zaryKxCLQ3yIT0U3sIJu', '6g6btXMiFPPSJuoRqbmh', '9NJYzTbpJ877B4xuS8af', 'IepXqWuJchtRWfvVbeia', 'LUSRBubGjijX8VgQGJGH', 'mEFd2FDsZGPOLSYpMFtk', '7QyR9ooM0VH2ZuAjhOnb', 'yzAB3WVKJ9S8lsTz22UM', 'zR7qML51iLBTqRoSwPrI', '9KjVnkGbXOb4pURPEmY1');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (92001, '9YeGrAyjIPXwdpyrOdsM', 'LvO5cMA20fA9PfayTFWf', 'h1r4A7itE625MNWWi6M8', 'u6yeM2SZLSLiZG0aY0Dn', 'LJIV45XoeSArXvEpqsGf', 'h1hsqHsjkzP5tRLhsRED', 'fmFneqagj5T0nVAecdTa', 'Y96vYM7I6vNf3srZfilp', '6LuR6oIWBDv0zlxnE1vd', 'AIqMREQ9IDXKuXey6KCu');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (932001, 'LWtfxNglftPbLX8cMFZ6', '2C57ihiiOldMr8VOsaXM', 'aBUi5rjar9KxttVe8Cwd', 'ww6SrV9C37KvHcd0swdg', '9YHRGA8HK8wUtQfSus4J', 'qULYdO5C1XBgP0TlsOXf', 'ou1TIRcPTbiscpl0GDxl', 'wppx5AObc5gOWGx4kZry', 'XSwgOHrKbHPUDK9sFaMx', 'NvuFYDVBjnqGUjujz0W2');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (13692001, 'oR5U6xLLNFPDwoU03xVH', '0kveRT3VOwk5DwI91FO2', 'cIeJZF15UDfh7mksAuXh', 'b0fE2KxkqLuxX5VcD0xl', 'pfV5pJ1ocJieGHoCHfPk', 'EuEIoFN6bIcRx4IHlLXt', '06mixHAaysUABtNR3ccN', 'kV2TOjRTl797T05Tmdkh', 'ZiYYYNDyokxz0iIYsbVZ', 'REN3PvOSHBN12eb9IHDY');
