INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (2452001, 'M3t67eUxWoD1QULkgtCT', 'pJzyUO8jXvrXZEeyZhHO', 'CNfHM6F5sx77NcI33uzB', 'jRxyeDf9Mbam2EAYtxFN', 'naQoNxDgE5vMSg1pdCO9', 'ZZgXx8YO72fVsqYT5N4I', '2p28zZLYMpnkSlTyxvEV', 'lzWud5z4gGKQY2AOUk2d', 'FlAlHjhNGfwgkcRCRZMz', '1W9w2RetHfQ94PIfCspo');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (3372001, '6bdVGwdalSsU0x0I6hM7', 'HYFCJZUPsd5vlTXEScng', 'OQd6Dfhb7v3Y5muzrrsa', 'sgQwyOxTAQI5RLNO1Tmu', '6ui55EsotwaK2kueZqo9', '9WiwxSbnSisCOwCpg5X9', 'gp8zVd9MPahW8y8BSlU8', 'RZB6rapzKps1OOsYeH2n', 'NkJTD8iJfutlgGFdNnXs', 'yE67lfXc8bMt2Rkct0gT');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (2212001, 'RuuBtOSC2Q1FGOdeEhkZ', 'CgA3Nf0yRM3LlwtaiytQ', 'wBP8sOBC0bkhUrr4q6qD', 'Sq0nVINM2rXW3BNnpilR', 'TUn8VxAst3jshygSdiev', 'pfd9jMK2UrhSeKPHEQ1o', 'KONMQeVtjtotZ7YbEROW', 'CKgdNaEtcudrAxF3WgPh', 'NoQRdUYnFnz7XcjMXWJt', 'F6aYmRYecsZDtUP48bbJ');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (23772001, 'yON5c92axvufF5fNC0fL', 'eCdyF2CKNFnrEBzlhp6X', 'KmicGDGosgHjWhdsHSIK', 'Jas0dap5f0Dj9HZGcaIZ', 'dGeNvAMozl31szd44ZAI', 't0CUhtXpNZqWMzMHO3fF', 'maTV6mHZA4vDxZaKzlQf', '2v6l1ux624IEtJSEEFcn', 'clRU9EpIL7PASp1w9QbT', 'aKSMjb8m1hqCUrtIeLHe');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (252001, 'HR2IRfdQOzKE8DI1FkR3', 'fNQVppktWDWBD6qbXSyk', '4RdoCrrHMBBSttQrvAa6', 'NJx9N1aCJOflHLwgvVuN', 'nYq553SYdk3j4pkxRMMq', 'O4DRLjYJHRUbHYHPZlp9', 'HJWV3IzCDyJtAAMFfl4f', 'UkWKoXUaAnpXyAxk17wL', 'LdkOqScgCHNdNOKLXwPq', 'HkqdlrY7dpCdRyOQP5GL');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (9252001, '22UwxepBmoxDVYwYpcbH', 'GSjp88XXtbHWYgP2EXcZ', 'KJNMFV9CNQwGtUyyQFYh', 'CjatzjAoHQUXrzZtNLXZ', 'mXcT6ORsRlN5obmZzaDb', 'NrfDhTdUDqgSXX1YYdjx', '3NJ5q67aUWNGQpuNrgin', 'cySFHz0PKEpOLv94bsHj', 'AN3shcnwqEfPP4gJ4zPV', 'qQRMAAZZTXhlZyrXp4f7');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (4132001, 'mYXxSN8eZBeSLG4UK03E', 'kAJyJtcr2ZgAVJ4Lh8Ry', 'BDkHHtoviIHKDok62tRZ', '7JKh3BtVYmUc0XO6g7VW', '46fRup09XdH0PwkYi71d', 'lbCxyp7D9djiiPHgAqnm', 'fuZJodO1vhOtQAUI4eI7', 'w8S0aI3MsEZgJewAcIBt', 'LFwuQFBBgb7JJjK0Vyit', 'F41oq3zSJbcJwmNeoudP');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (652001, 'LAwbBOAO534K9JidM0Nu', 'YVyObi87u4DdMAzTqdQ0', 'BE2W29FFmi9ogILpWdxg', 't8zQoBtREqkBvh9Nw6R1', 'tr5Nc4fiRuvxXQg0nEF5', '7Evt2UMlTILu53EKzMgw', 'TPCQZgDhQ9U0Grr7FuZ4', 'IzlRt2t8n5W14S45g6wQ', 'YoEnymde0uxdAgPG3I0K', '3ji61RbEuox3nqTlXR5K');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (292001, 'J0Kum7F36KnR3CvzeSzW', 'lW4FCvthRUoMl8PBtV02', 'W9A1mpfKedRNvmArjtC2', 'dmLCT0rSNfrwcdliYbSG', 'gXxAgenEeCe4RHJBEolk', 'LqwMiFkjIuuX29yPmSRO', '1GFuJEkbofcFogGmLEPf', 'sl3y4brlbJWtFCD5eZvc', 'U4eJDnpADQlnX5SIfGYO', 'KMYppCLGAsBx3lzl8qsS');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (4452001, 'rinqEHdlqUsC4RVGCeB3', 'PhT60oL1q0nxSo99wmhs', 'vP4XT4b0ipZh6lZIm1lF', 'gDHAVNO4hTijkfHPQmmU', 'Ffy8siRYIjFIu6PXglcD', 'q4mIKcqmi1Z1FZ3nNfeN', 'ctsqEh52T0fFPZHkEqN6', 'L6Qt7ZgLCX8OS7LX9hYz', 'xIDrpuGJVeIjP7SbTEkv', 'kge7UBnauo7r7Bj0zDpa');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (4852001, 'W6BkYcZNWy1Dv6sECZiL', '9DAjRaLYzR4BOhdDLe19', 'gyhqgPIazTtsURE1AvCV', 'd4l9HIiFY81tsx9uGMuT', 'DWmMl3BpopfM4WIiyqjo', '9AHMcOS4lH0Unb1TtDfK', 'cA5S4NlX1ntq7oF1tCFN', 'opODgRWcWar80kRYGT6g', 'DMAqaQmv3mttnBJZ28Nc', 'K2k9CAO9bfzSIVJhrSvR');
