INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (852001, 'bLYElKSDa7rPJaR5vApr', 'GwNVE0IlkUwxKoMVIqEI', 'EqErAkH2oZxWcQMJFI8O', 'KCbgbsbuKOJ1ND6zzxlK', 'DSyHmre1Ecvuea0rRNQP', 'buqvoMaSacLTeEhBIHGl', 'xJOisSk9O5ym0W6L03Ol', 'vTt59UxlrlS3tW8lMLkf', 'RtMqfCJUXld893nzDX8v', 'bSb7Nyq6Iaq1taiAquC5');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (52001, 'cz2BFR9VIZQozakFeqIk', 'dE80VtVtOfvqPTIKqi3y', 'IxPArLlevzkhNGCajOWk', '2lRZw91U1KnmUflYBh1r', '5sH0jaFAim6zZefz5K0d', 'Baog6grRjEDI7rZaSyRm', 'miCXAwHVCeHKUDYCfnRL', 'm6qZhFzGo332uiPlETT6', 'cMyozBo5uKdAjm5pR3H2', 'AHwvlwvX8b4w6iTrXqkz');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (3052001, 'Rdd0g6JHjjpIoBow7o7k', '8bwiZGj2GJiAIo3AjFOq', 'RLxLOetX47ADOL0CXyZI', 'hcJxLN5qJyUOjmD80bsC', 'nIQzp4ObzssYLLyT3Wol', 'w794068CRXj3w8TgU0A0', 'gTAuEqRd0swqvntbDwmN', 'LYGZ3TKRpix8csjF8dyI', 'mP79IyvKQOZLNEgVdZ47', 'cGbulgmmOStw840UhhLb');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (16012001, 'yOFnpiki6zhDr8BTJxBq', '53P9iNWkgd6V0OncWD2n', 'X4OY0HkHNwWzi9o184Yc', 'HOl9jXsyGFVsFUUx8PgH', 'QaoUQbiySu1LHXvJ28Dp', 'KJlg8YGiu0hHf16WFDg2', 'aRUJrg5S0XY2zO1tj0iu', '4fuUctyscIhWMp9M94xn', 'cCtMOwP1PSj4PsvyVz3O', 'D23OHdTCFurFNAugqC3G');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (452001, 'byZfFMHyPfR5YGZvYqgC', 'wnYYk5mMtuTjDOjc45tg', 'tQXemB11VfRj26ybvW8B', 'tJmm9xuHOy3HWY8hGkEO', 'VdLlERtEepjzVuzbIzKm', 'eVlho8yZjn3vQF9ulSdR', 'u70qkukVqT3PA0dQmQvy', 'aevaP3NKnwlKWXsakPPh', '7BcJ0DlAgYTnYePdrH6F', 'loBK51M5XXdBgCPdy2Kf');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (52002, 'jUvcykH1vBZ4UtB9dKKu', '7mKW2PbHILQm6lq6noyF', 'qWQixoQAgKI0fFwfAWHV', 'Yrd8xZNnqy2D3OYKDLLR', 'RlQP59RnbHl9nopmgBZ8', 'HQQhWxppWFKzAnYQuPkH', 'Yu9g1hkSA5VftJfCAXry', 'FuX7bxbb4OTKDEEDwvmH', 'Cjig9Eq4Y7qPI7ZdFHQq', 'dTyYYKEuvdaqMIRW8mB6');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (252001, 'reOoSCgQI5hU70rZJY0G', 'yTTlCnKnzCpBj3fNEPnw', 'VC34bZgV32qci93pesO4', 'pHr7tce2ZDrdPL0CpGPD', 'tl7jzQX4Q5zw6CBMUVfh', 'IDR18eeK1Ag4J6nRSpRV', 'Hq3855SChiOFzKaViCyx', 'AaflmTgVPkzaBzN0LGJ3', 'xMHCcYRMvJsdHT5NFVru', '3RK9UN9DCL92OJhfWBG7');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (18012001, '6Rn7uEX3qlbXnu3cM3Zp', 'QmtFmA4BOyOcvYBPa766', 'iOoRkpdTDTlkS57LUPBS', '8UuDsxlW36AhmhbPVhEl', 'CzdTITIw0cQIMbIbHwt8', 'RrltMdvjKY6Ei0pO8eqd', 'gilx0ih5hPlNzEtDl4kg', 'PCqrunEyyCwtyxzQRTkN', 'yg4wKY3z3A53idnmkiSG', 'XitP1B6v1AoZ7GpDTJ43');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (6732001, 'gw6b2c3GXsqaU1qk6emy', 'owgLFWWKVNWjFjqQhXMq', '72WAiuI4Ubuem9VmuOtl', 'puKZBN51a1FxW1NbUbNj', 'g4pL9oKxY1IpKrbc4Z0Y', 'qr7pICJcnPMRZ8CYcITw', 'lTSX3VVAzHGm2Xy1T0j2', '0oE6PUihHnVKoRcoL2o8', 'by5v64zVtVxP7X8nlNeY', '8huDKydVE7I4C6szj9yu');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12001, 'kIumDlsOOBSbxyEfWtM9', 'cQfcfWJ4Pd7rMncxZFRh', 'eQONuMRBzLHJ3iSNnbkC', 'eggzUQZ9RNk2yFj38QQW', 'zJgKlkAQkWQCdptXSamH', '3y817rR0UIQQTqqgbf5j', 'blgsmGLV3KvbPUYAm8yA', 'bYOnC7n5kEKfATJ5FoLO', 'z0aBH09ewPqokPapoj9J', 'cqb5UyEJUqydaeYAAc9a');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (292001, 'NWjL4nKPlRBGPkuHHwmk', 'mXaMuVRlwisHmuQD8xUl', '9M5taCl2SfPYkQfbB1Rc', 'YcWrG7Fqcp4rPWKH4IN1', 'DibZV97si3vDxRPS7THk', 'q2BWG2ByUwAfGW11UYOR', 'CHvaZNGygStBXvIF81hq', '5Uu7Xy3aYPPD3gwdojhw', 'U2XDE7fHUAjvZAT0UzeZ', '71pPwH5fPqsiKsTKCAxL');
