INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12001, '5OnGmAFXN9sCDblhAYuP', '6JeDKbP0X1rejADYc3a6', 'n9PVlG89aNhCGqoJr8nz', '4Vp1qzmQ0QSMw920RONp', 'bqYT9TbKoaOtSx42M6FA', '5ZF0TnpPVFMtyRA6Yr2u', 'LuD4lgZ3zPVlleMcJw7r', '3QovTDkGLk5KqSDOAVW4', '9BdBT6RDjHGW6d0NlfAr', 'goW0G5lBX7Ybw9SlF6kN');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (52001, 'vvBK7sj30aEFcCIJinp6', 'FPPekAvvxvxyXZYvHMR3', 'tNzZFJi7N57BOzYTzSTz', 'HFvEGWZO3aWiMiyPIMya', 'NlbIHMkojSDYat9vLDCn', 'O1OXFkYNvwwlpyoPozqu', 'gEUs8YaxVul14qXCSSo2', 'tfy5sioncWCyhIjmnxXo', 'cRrMEBYU5a61KwcCVIrQ', 'cCyVCPnwlBLKLq59RJda');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12002, '5tHnUpiRnml4NjpFY4MS', 'CY7Qce8VY7SF8DPQdmTa', 'kkMKcXdGikko3tCAfN9i', 'VQIWMr6Q72HVCs2XKScd', 'kEqhpC5auaGwynalwH52', 'VE9Oo8Lth4WtIa46y5za', 'Usm9yHJy1m3hZjFgr2Oj', '2fZzrMkKw18oVupNLacX', 'ZkQpfqBoXSRFdOz9AMHQ', '4uHJ5zbNN1VL84pTKl6i');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (11412001, 'K0tmdEuVZR1ndUX9P66y', 'DopuBzitpKZ4pfwvd0Bc', 'esgLih3ZVliU6UUrk2Mm', 'nyEjlGirAAdRB7difUJd', 'bs1HtzshAwv0Fq7dt9LA', 'e6HzCdZzFzL16280NFgn', 'lHBhKDmO7AFsiN4SeGKi', 'z0sJpNpEA6q5hiKwWzA0', '5OdbIQhqARqw76iIbg3E', '3SyXAyF1qX34sDlYQhzM');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (172001, 'CtR2VylcaiLnWPy14ani', 'cauFTvelyNEcsfd9JE6H', 'xQTarVyfHLW2j203cxSj', 'cwLBW77J4CmYCWwvmwY7', '1wyMgxRvdQFnsuTsjKEM', 'oQugtUxNPoR8rAABsdTG', '58beAeo9P7FTq9nHXJNM', 'ylo9bl9awQOwy3ctxkc3', 'W2BrLHHG54q3y6KTcXdx', 'Lh9VWTQn5xO2xfebYe6K');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (52002, 'XWEksermBOCRQYDJ3tAo', 'LBzErtE9pQrqz7v31Lnd', 'inI6UPMZ0eyxRBF7W7dg', 'yKcS0KWqTk4rdkoawqYb', 'xDBYMMOHFD30l9yQqIEs', 'KUZl34wsiB27ANOXJCSG', 'd5hGv722s7qfxxH8YW6q', 'm2X6irE5jSYVp4v1GsAX', 'QBZziLV4ZhYH9CVYGCQz', 'y7HGoaQkcDJDBa5fMM6D');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (172002, 'QzMg74vwPiGeez3dUXaZ', 'feWQdOKUfw87vfcsq9Nd', 'T20vo3pznB35UHl5jahz', 'ESQbHtD3CTClrVWoq9sJ', 'mOssYdfOlH1bERDvowai', '4eHcAeLrjd5meS76ML2V', '7cLRmxj0Yg6cVe2rGvXZ', 'yOKOwIejRw5ztbTPhfzP', 'b3G9WEHNgTEjaO9ETigi', '0pzGwaeK1DCFfMoVIQPd');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12003, 'ZQB6i7StBqcg90CcDfzG', 'jqPBscssTbdO6V0v4a4x', 'oLp8OQsk614Qxjq13DW0', '74kHkGFQauTTbQFmV7LH', 'EqcgDxzg11BlrT1Mm8r1', '94QcYXwCHDOUfqw6YQhS', '5au6uQxsGDAufkpBQEsg', 'lYwClf41ygPo76EOd8aa', 'x9OkhpqwSJZ96HLPDU1s', 'PZ69GWOqdB2csk2cLRnH');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (1492001, 'iZBotnqwNnTwWJorM5tr', '5m8XZTieG740m9v1fsyn', 'DbKTNcsi6wj1GBGGLjxl', '8Rp8ScIIXisw6m6mkoKG', 'TRfM5YRimUcjkiPtp1uY', 'GxBTzUFVQ4Lvzjf1J2IU', '0x7on8DirHKG2IrfcuEY', 'T9ul6PhAU6Na8SPM6CJt', '5UgbLBAwS9vRpHZLvvB1', 'BiurxQ55JMbTcQ6T0Z8t');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12004, 'iT6Qa5MJWOyUa5Hz6kGp', 'IUvuUXtUrSTSDA4H26vb', 'RC3mZ9WvazY3cv0PN7qr', 'y0deH5gYjxKLQBIrxLgA', 'N1DCXPo17IKXJmupdqRM', '5YMIb8jxS3SwMNkJPGNq', 'TSXDvC04cQedcQ3J6zFD', 'GoLllpCBf4sFzqdQr9It', '3iwNNwJtxnj3zZl30gJH', '5FcU0PI8Cr9ladR1WYAz');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (212001, 'BVr5XaXpIBTl7abk9CyL', 'zHfG3QMkrKyg03h5tqJq', 'iIHs8Ltdc65HuAb7A9Ic', 'WD1YTWDfFeEBC7z84a16', 'tDRGtBZyjmzf7gXvccrp', 'JvKfbKs4yIpEG2Snvplg', 'mzZZc5MlrTNL2iF3SYAh', 'EXsFAt5BsWeMWpNFdrtU', 'zELSGVAs7wJBATxevvSW', 'B6YV9zpn2HCpsIY9mHVl');
